annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2019;213;294;beauce_5_sa_000;solnu;;107.82;0.0;0.0;0.01;0.0;45.53;248.32;35.03;237.82;-1.0;-1.0;0.0;101.68;0.0;0.0
2019;295;365;beauce_5_sa_000;orgeh;orgeH_tousSols_nonirr_organique;32.84;0.03;12.32;0.83;0.0;38.98;241.77;56.91;310.4;-1.0;-1.0;96.06;114.22;0.0;487.09
2019;213;283;beauce_5_sa_001;solnu;;102.17;0.0;0.0;0.01;0.0;45.53;248.32;15.03;217.82;-1.0;-1.0;0.0;74.9;0.0;0.0
2019;284;365;beauce_5_sa_001;orgeh;orgeH_tousSols_nonirr_organique;37.92;0.16;12.77;0.87;0.0;18.1;220.89;56.91;310.4;-1.0;-1.0;90.16;141.0;0.0;613.66
2019;213;316;beauce_5_sa_002;solnu;;122.24;0.0;0.0;0.06;0.0;45.53;248.32;56.25;276.59;-1.0;-1.0;0.0;153.32;0.0;0.0
2019;317;365;beauce_5_sa_002;orgeh;orgeH_tousSols_nonirr_organique;18.69;0.0;12.09;0.24;0.0;56.91;278.92;56.91;310.4;-1.0;-1.0;97.96;62.59;0.0;290.57
2019;213;259;beauce_5_sa_003;solnu;;80.84;0.0;0.0;0.01;0.0;45.53;248.32;12.38;215.17;-1.0;-1.0;0.0;47.7;0.0;0.0
2019;260;365;beauce_5_sa_003;orgeh;orgeH_tousSols_nonirr_organique;53.18;2.92;16.07;0.47;0.0;11.57;214.36;82.16;310.4;-1.0;-1.0;81.21;168.21;0.0;968.3
2019;213;268;beauce_5_sa_004;solnu;;90.39;0.0;0.0;0.01;0.0;45.53;248.32;20.21;223.0;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;269;365;beauce_5_sa_004;orgeh;orgeH_tousSols_nonirr_organique;46.79;1.06;14.77;0.69;0.0;19.18;221.97;65.22;310.4;-1.0;-1.0;85.1;150.83;0.0;818.79
2019;213;273;beauce_5_sa_005;solnu;;95.8;0.0;0.0;0.01;0.0;45.53;248.32;14.81;217.6;-1.0;-1.0;0.0;69.21;0.0;0.0
2019;274;365;beauce_5_sa_005;orgeh;orgeH_tousSols_nonirr_organique;42.89;0.52;13.8;0.78;0.0;18.63;221.42;56.91;310.4;-1.0;-1.0;86.16;146.69;0.0;736.61
2019;213;290;beauce_5_sa_006;solnu;;105.1;0.0;0.0;0.01;0.0;45.53;248.32;18.46;221.25;-1.0;-1.0;0.0;86.42;0.0;0.0
2019;291;365;beauce_5_sa_006;orgeh;orgeH_tousSols_nonirr_organique;35.21;0.06;12.65;0.83;0.0;26.37;229.15;56.91;310.4;-1.0;-1.0;93.72;129.48;0.0;529.57
2019;213;285;beauce_5_sa_007;solnu;;102.84;0.0;0.0;0.01;0.0;45.53;248.32;17.59;220.38;-1.0;-1.0;0.0;77.4;0.0;0.0
2019;286;365;beauce_5_sa_007;orgeh;orgeH_tousSols_nonirr_organique;37.25;0.12;12.81;0.88;0.0;19.77;222.56;56.91;310.4;-1.0;-1.0;91.55;138.51;0.0;589.85
2019;213;301;beauce_5_sa_008;solnu;;112.95;0.0;0.0;0.01;0.0;45.53;248.32;44.25;247.04;-1.0;-1.0;0.0;113.79;0.0;0.0
2019;302;365;beauce_5_sa_008;orgeh;orgeH_tousSols_nonirr_organique;27.91;0.0;12.15;0.73;0.0;46.01;248.8;56.91;310.4;-1.0;-1.0;98.35;102.11;0.0;421.57
2019;213;313;beauce_5_sa_009;solnu;;120.98;0.0;0.0;0.05;0.0;45.53;248.32;55.03;269.9;-1.0;-1.0;0.0;150.2;0.0;0.0
2019;314;365;beauce_5_sa_009;orgeh;orgeH_tousSols_nonirr_organique;20.01;0.0;12.02;0.4;0.0;56.91;277.19;56.91;310.4;-1.0;-1.0;98.08;65.7;0.0;314.44
2019;213;277;beauce_5_sa_010;solnu;;98.5;0.0;0.0;0.01;0.0;45.53;248.32;16.56;219.35;-1.0;-1.0;0.0;69.83;0.0;0.0
2019;278;365;beauce_5_sa_010;orgeh;orgeH_tousSols_nonirr_organique;40.91;0.32;13.28;0.82;0.0;16.3;219.08;56.91;310.4;-1.0;-1.0;87.36;146.07;0.0;686.34
2019;213;316;beauce_5_sa_011;solnu;;122.13;0.0;0.0;0.07;0.0;45.53;248.32;56.25;276.7;-1.0;-1.0;0.0;153.32;0.0;0.0
2019;317;365;beauce_5_sa_011;orgeh;orgeH_tousSols_nonirr_organique;18.72;0.0;12.16;0.22;0.0;56.91;279.03;56.91;310.4;-1.0;-1.0;97.96;62.59;0.0;290.57
2019;213;259;beauce_5_sa_012;solnu;;80.85;0.0;0.0;0.01;0.0;45.53;248.32;12.38;215.17;-1.0;-1.0;0.0;47.7;0.0;0.0
2019;260;365;beauce_5_sa_012;orgeh;orgeH_tousSols_nonirr_organique;52.99;3.02;16.15;0.48;0.0;11.57;214.36;82.16;310.4;-1.0;-1.0;82.11;168.21;0.0;968.3
2019;213;313;beauce_5_sa_013;solnu;;120.85;0.0;0.0;0.02;0.0;45.53;248.32;55.02;270.03;-1.0;-1.0;0.0;150.2;0.0;0.0
2019;314;365;beauce_5_sa_013;orgeh;orgeH_tousSols_nonirr_organique;20.03;0.0;12.13;0.37;0.0;56.91;277.32;56.91;310.4;-1.0;-1.0;98.08;65.7;0.0;314.44
2019;213;270;beauce_5_sa_014;solnu;;92.64;0.0;0.0;0.01;0.0;45.53;248.32;17.96;220.75;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;271;365;beauce_5_sa_014;orgeh;orgeH_tousSols_nonirr_organique;45.11;0.8;14.46;0.73;0.0;16.42;219.21;61.19;310.4;-1.0;-1.0;85.97;150.83;0.0;783.98
2019;213;292;beauce_5_sa_015;solnu;;105.95;0.0;0.0;0.01;0.0;45.53;248.32;35.27;238.06;-1.0;-1.0;0.0;97.32;0.0;0.0
2019;293;365;beauce_5_sa_015;orgeh;orgeH_tousSols_nonirr_organique;34.71;0.04;12.32;0.83;0.0;35.9;238.69;56.91;310.4;-1.0;-1.0;94.8;118.58;0.0;507.81
2019;213;299;beauce_5_sa_016;solnu;;111.48;0.0;0.0;0.01;0.0;45.53;248.32;36.86;239.65;-1.0;-1.0;0.0;110.85;0.0;0.0
2019;300;365;beauce_5_sa_016;orgeh;orgeH_tousSols_nonirr_organique;29.59;0.01;11.93;0.81;0.0;44.22;247.01;56.91;310.4;-1.0;-1.0;98.2;105.05;0.0;436.35
2019;213;305;beauce_5_sa_017;solnu;;115.56;0.0;0.0;0.01;0.0;45.53;248.32;48.16;250.95;-1.0;-1.0;0.0;132.58;0.0;0.0
2019;306;365;beauce_5_sa_017;orgeh;orgeH_tousSols_nonirr_organique;25.44;0.0;12.01;0.67;0.0;56.91;264.75;56.91;310.4;-1.0;-1.0;98.33;83.32;0.0;384.84
2019;213;271;beauce_5_sa_018;solnu;;94.18;0.0;0.0;0.01;0.0;45.53;248.32;16.42;219.21;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;272;365;beauce_5_sa_018;orgeh;orgeH_tousSols_nonirr_organique;43.82;0.7;14.31;0.75;0.0;15.53;218.32;59.38;310.4;-1.0;-1.0;86.35;150.83;0.0;766.17
2019;213;264;beauce_5_sa_019;solnu;;85.78;0.0;0.0;0.01;0.0;45.53;248.32;22.08;224.87;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;265;365;beauce_5_sa_019;orgeh;orgeH_tousSols_nonirr_organique;50.55;1.65;15.02;0.61;0.0;24.13;226.92;72.95;310.4;-1.0;-1.0;81.99;150.83;0.0;891.87
2019;213;271;beauce_5_sa_020;solnu;;94.18;0.0;0.0;0.01;0.0;45.53;248.32;16.42;219.21;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;272;365;beauce_5_sa_020;orgeh;orgeH_tousSols_nonirr_organique;43.82;0.7;14.31;0.75;0.0;15.53;218.32;59.38;310.4;-1.0;-1.0;86.35;150.83;0.0;766.17
