sortie,parametre_1,parametre_2,R2_interaction,R2_cellules,R2_additif,n,n_cellules
N_lixi,Jours_semis_F1,Jours_op_recolte,0.09294267095206188,0.205960627394294,0.11301795644223211,10000,16
N_lixi,n_ferti,Jours_op_recolte,0.0394328040964641,0.15165235838871904,0.11221955429225494,10000,16
N_lixi,Jours_F1_F2,Jours_op_recolte,0.030345742920372065,0.11269870660217851,0.08235296368180645,10000,16
N_lixi,has_prepa,Jours_av_PREPA,0.030208259839846208,0.045088212355906654,0.014879952516060446,10000,6
N_lixi,Jours_op_recolte,Dose_F2_1,0.027415584266623827,0.10634173265460589,0.07892614838798206,10000,16
N_lixi,n_ferti,Jour_Semis,0.023157950572428643,0.4130740213022953,0.38991607072986667,10000,16
N_lixi,Jours_semis_F1,Jours_F1_F2,0.023008069449805935,0.06153354033478087,0.03852547088497493,10000,16
N_lixi,Jours_semis_F1,Dose_F2_1,0.022572378455526843,0.058169708578652335,0.03559733012312549,10000,16
N_lixi,prepa_1,Jours_av_PREPA,0.018514753431988384,0.045477860896000144,0.02696310746401176,10000,12
N_lixi,has_prepa,prepa_1,0.01835308207689601,0.03093657363222957,0.012583491555333559,10000,5
N_lixi,type_f1_2,Jours_op_recolte,0.01627442021869785,0.09570186886001841,0.07942744864132056,10000,16
N_lixi,n_ferti,Jours_semis_F1,0.015358660253106504,0.072934551862885,0.057575891609778496,10000,14
N_lixi,Jour_Semis,Jours_F1_F2,0.014144591447256327,0.37479333539275217,0.36064874394549584,10000,16
N_lixi,Jour_Semis,Dose_F2_1,0.013502354263426497,0.3701844319364007,0.3566820776729742,10000,16
N_lixi,nb_f1,Dose_F2_1,0.013402909209304648,0.021439341882436236,0.008036432673131588,10000,16
N_lixi,Dose_F1_1,Dose_F2_1,0.013270548884451117,0.020959822506192216,0.0076892736217410995,10000,16
N_lixi,type_f2_1,Jours_op_recolte,0.013047022003741193,0.0933411189960629,0.0802940969923217,10000,16
N_lixi,nb_f1,Jours_F1_F2,0.012498864371997986,0.023697691219349393,0.011198826847351406,10000,16
N_lixi,Jours_F1_F2,Dose_F1_1,0.011836369641852529,0.022626037033120938,0.01078966739126841,10000,16
N_lixi,Jours_semis_F1,Dose_F1_1,0.01149694832935444,0.050669334452579706,0.03917238612322527,10000,16
N_lixi,Jour_Semis,Jours_semis_F1,0.01042000231041873,0.4025201220058988,0.3921001196954801,10000,16
N_lixi,has_prepa,nb_prepa,0.010336715250764295,0.030747272955241045,0.02041055770447675,10000,3
N_lixi,type_f1_1,Jours_op_recolte,0.01029352289736718,0.08895627238210535,0.07866274948473817,10000,8
N_lixi,nb_f2,Jours_op_recolte,0.01009064065032983,0.08966265074596746,0.07957201009563764,10000,8
N_lixi,nb_prepa,Jours_av_PREPA,0.00973553971961827,0.04492649799428261,0.03519095827466434,10000,7
N_lixi,n_ferti,nb_f1,0.009425514496908649,0.03417006318319715,0.024744548686288503,10000,13
N_lixi,nb_f1,Jour_Semis,0.009325186466696112,0.37374237324047643,0.3644171867737803,10000,16
N_lixi,type_f3_2,Jours_op_recolte,0.009203246350305005,0.08840184785282101,0.07919860150251601,10000,16
N_lixi,type_f1_2,Jours_semis_F1,0.008717379791352342,0.04435063194243982,0.03563325215108748,10000,16
N_lixi,nb_f1,Jours_op_recolte,0.008409472789739358,0.09618088318972218,0.08777141039998282,10000,16
N_lixi,nb_f1,Dose_F1_1,0.008346408165961217,0.0187355945033455,0.010389186337384282,10000,16
N_lixi,Jour_Semis,Jours_op_recolte,0.008278288821157331,0.4426303645888845,0.43435207576772716,10000,16
N_lixi,Jours_semis_F1,Dose_F3_1,0.0082563317569746,0.04550247106291416,0.03724613930593956,10000,16
N_lixi,Jours_semis_F1,Jours_F2_F3,0.008139603473598878,0.04776490545950374,0.03962530198590486,10000,16
N_lixi,type_f3_1,Jours_op_recolte,0.007944166084282722,0.08683459218334255,0.07889042609905983,10000,16
N_lixi,type_f1_2,Jour_Semis,0.007849473758540504,0.364769957456038,0.3569204836974975,10000,16
N_lixi,nb_prepa,prepa_1,0.007572537324660011,0.025233254327718613,0.0176607170030586,10000,8
N_lixi,Jours_F2_F3,Jours_op_recolte,0.007563339200093777,0.09009306185811106,0.08252972265801728,10000,16
N_lixi,n_ferti,Dose_F1_1,0.007474145413595479,0.034630136937541245,0.027155991523945766,10000,14
N_lixi,has_prepa,type_f2_2,0.007103672516730275,0.030779168894554565,0.02367549637782429,10000,5
N_lixi,Jour_Semis,Dose_F1_1,0.006873426175650343,0.3703907834433341,0.36351735726768375,10000,16
N_lixi,Jours_op_recolte,Dose_F3_1,0.006807684066727937,0.0867483858643242,0.07994070179759627,10000,16
N_lixi,type_f2_2,Jours_av_PREPA,0.006755579888969798,0.04506742074117853,0.038311840852208734,10000,12
N_lixi,Jours_op_recolte,Dose_F1_1,0.00671835047350311,0.09359486622349367,0.08687651574999056,10000,16
N_lixi,nb_f1,Jours_semis_F1,0.006699287417495259,0.045987008786919414,0.039287721369424156,10000,16
N_lixi,type_f1_1,Jours_semis_F1,0.0064226688391626485,0.04191594290814771,0.03549327406898506,10000,8
N_lixi,Jours_semis_F1,Dose_F2_2,0.006321966262860079,0.04278392345409576,0.03646195719123568,10000,16
N_lixi,nb_f1,type_f1_2,0.006242802292949601,0.014481411848516479,0.008238609555566878,10000,16
N_lixi,Jours_semis_F1,Dose_F1_2,0.006195251028184856,0.04319873853481593,0.03700348750663107,10000,16
N_lixi,nb_prepa,type_f2_2,0.006156009024192111,0.009017593253402567,0.0028615842292104565,10000,5
N_lixi,type_f1_2,Dose_F1_1,0.006101637708914809,0.014007560089534188,0.007905922380619379,10000,16
N_lixi,prepa_1,type_f2_2,0.0058924321112114875,0.024281923052619225,0.018389490941407738,10000,16
N_lixi,prepa_2,Jour_Semis,0.00582828804186164,0.3666315877991332,0.36080329975727155,10000,8
N_lixi,type_f3_1,Jours_semis_F1,0.005727306142884192,0.041200124305473707,0.035472818162589514,10000,16
N_lixi,Jour_Semis,Dose_F1_2,0.005533269433023236,0.36429525153282516,0.3587619820998019,10000,16
N_lixi,Dose_F1_1,Dose_F1_2,0.005365990335968518,0.013991067041239758,0.00862507670527124,10000,16
N_lixi,nb_f3,Jour_Semis,0.005317408579825766,0.36420599381903696,0.3588885852392112,10000,16
N_lixi,Jours_semis_F1,Dose_F3_2,0.005298946606115851,0.04122476075277559,0.03592581414665974,10000,16
N_lixi,type_f3_2,Jours_semis_F1,0.005268636622304812,0.04162558152858287,0.036356944906278055,10000,16
N_lixi,Dose_F1_1,Dose_F2_2,0.0052510322354245575,0.013853728686426536,0.008602696451001979,10000,16
N_lixi,prepa_2,Dose_F2_1,0.005110949770210427,0.009489094866014125,0.004378145095803698,10000,8
