point_idx,sim_idx,parcelle,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,N_lixi,DeltaCorg,Yield
9049,90,beauce_5_sa_049,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,82.5480720334313,-24.0,291.5359899242902,272.55048298052725,300.45668929027255,366.17309072122566,56.32966347967004,55.0,17.674916969814213,24.65715079438928,23.94624376896232,82.88271902177125,26.59,-628.16,4.37
9050,90,beauce_5_sa_050,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6012346030111,-4.757947504979896,214.5,266.5,281.5,347.2961700938564,55.0,55.0,55.0,55.0,55.0,55.0,24.18,-625.82,4.45
9051,90,beauce_5_sa_051,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,105.97359145620626,-24.0,289.16836168705936,257.2865210272531,269.8414822982152,368.2427961877361,84.09257089825758,33.0613507526988,41.99742716008213,55.0,58.441288316744696,56.58345311732272,29.71,-612.36,4.16
9052,90,beauce_5_sa_052,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,79.06104100878146,-24.0,167.5495901536896,311.72159226199824,281.5,382.09731008282256,34.915950977822085,55.0,16.66236963461146,14.361649699019866,55.0,55.0,27.76,-606.33,4.03
9053,90,beauce_5_sa_053,2.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,72.74507939807856,-34.9832515529506,235.5444109151753,261.3655223430421,281.5,329.7276515581581,58.75363860944529,55.0,62.387623212620845,55.0,55.0,55.0,20.61,-582.46,4.27
9054,90,beauce_5_sa_054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.67229478801818,-24.0,214.5,266.5,281.5,373.11375460369914,55.0,55.0,55.0,55.0,55.0,55.0,30.01,-607.46,4.06
9055,90,beauce_5_sa_055,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.25131666387936,-41.2666992287472,109.07354740765062,300.8988739402932,281.5,347.70774189827057,67.2141568678488,55.0,75.88961768627178,55.0,55.0,55.0,13.74,-579.5,4.14
9056,90,beauce_5_sa_056,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,85.72505264132246,-24.0,254.2697194244183,225.3979585391292,267.1556115677406,334.48391850677257,28.467629092990418,55.0,28.902152568974643,55.0,55.11057240688599,56.988651417063586,29.2,-635.88,4.61
9057,90,beauce_5_sa_057,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.75750244736145,-22.46717662910859,214.5,266.5,281.5,359.51092368164524,55.0,55.0,55.0,55.0,55.0,55.0,24.23,-621.02,4.45
9058,90,beauce_5_sa_058,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.762286670945535,-11.782071616384016,287.9585123422805,223.83904335217625,281.5,373.70451845137063,25.726764457793355,55.0,85.90500066703459,55.0,55.0,55.0,27.7,-615.51,3.71
