target,n_rows,R2_train,Q2_test,MAE_test
N_lixi,10000,0.9913122411286802,0.9847436673578306,0.348608108097518
DeltaCorg,10000,0.9787224496409948,0.9586088751829109,3.0696871538482746
Yield,10000,0.9837155887517672,0.969699595448926,0.03222593065459784
