feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
1,1,80.0,-17.0,1.6,5.2,10.0,261.0,383.0,393.0,332.0,60.0,10.0,10.0,0,0,1.603157894736842,-30.27368421052632,7.826666666666666,32,beauce_5_sa_032
0,2,87.0,-31.0,1.0,20.6,10.4,259.0,383.0,393.0,354.0,10.0,10.0,10.0,0,0,0.8142105263157894,-101.68947368421053,5.49,33,beauce_5_sa_033
2,0,52.0,-20.0,2.6,15.0,10.0,239.0,294.0,393.0,360.0,37.2,57.9,10.0,0,0,5.965789473684211,-101.34736842105262,8.457777777777778,34,beauce_5_sa_034
0,2,65.0,-12.0,1.4,10.8,24.9,259.0,383.0,393.0,343.0,10.0,10.0,10.0,0,0,0.9826315789473684,-108.9778947368421,5.357777777777778,35,beauce_5_sa_035
2,0,106.0,-20.0,2.7,15.0,10.0,318.0,319.0,393.0,351.0,60.1,21.3,10.0,0,0,7.699999999999999,-78.29105263157895,7.888888888888889,36,beauce_5_sa_036
0,2,66.0,-42.0,3.4,12.4,16.3,259.0,383.0,393.0,354.0,10.0,10.0,10.0,0,0,0.6105263157894737,-119.34684210526314,5.5488888888888885,37,beauce_5_sa_037
3,0,57.0,-20.0,3.3,15.0,10.0,207.0,211.0,317.0,354.0,50.3,18.3,46.1,0,0,4.546842105263158,-44.04105263157895,8.855555555555556,38,beauce_5_sa_038
3,0,53.0,-20.0,2.9,15.0,10.0,182.0,253.0,316.0,351.0,41.6,100.0,15.4,0,0,9.34842105263158,-90.76842105263158,8.972222222222221,39,beauce_5_sa_039
1,1,81.0,-38.0,2.1,9.3,10.0,195.0,383.0,393.0,345.0,97.3,10.0,10.0,0,0,2.3684210526315788,-4.066315789473687,8.813333333333333,40,beauce_5_sa_040
2,0,50.0,-20.0,2.9,15.0,10.0,265.0,266.0,393.0,344.0,31.0,85.5,10.0,0,0,9.246842105263156,-97.67842105263158,8.527777777777779,41,beauce_5_sa_041
1,0,58.0,-20.0,3.7,15.0,10.0,259.0,383.0,393.0,13.0,44.2,10.0,10.0,0,0,2.821578947368421,-142.2163157894737,7.334444444444445,42,beauce_5_sa_042
2,2,75.0,-30.0,1.0,11.6,11.5,140.0,269.0,393.0,364.0,13.3,45.2,10.0,0,0,1.3715789473684212,-64.9,8.18,43,beauce_5_sa_043
2,0,76.0,-20.0,2.3,15.0,10.0,242.0,243.0,393.0,18.0,40.4,79.6,10.0,0,0,6.046315789473684,-79.60947368421053,8.868888888888888,44,beauce_5_sa_044
3,2,82.0,-19.0,1.3,11.1,13.0,232.0,239.0,295.0,365.0,11.4,22.6,32.4,0,0,1.4421052631578946,-47.38157894736842,8.18,45,beauce_5_sa_045
3,2,74.0,-35.0,2.9,2.2,9.3,254.0,311.0,312.0,359.0,68.9,84.7,31.5,0,0,11.790526315789474,-61.12315789473685,8.96888888888889,46,beauce_5_sa_046
3,0,84.0,-20.0,3.5,15.0,10.0,308.0,309.0,310.0,365.0,77.7,47.6,72.4,0,0,19.718947368421055,-58.207368421052635,8.88,47,beauce_5_sa_047
1,0,74.0,-20.0,1.9,15.0,10.0,178.0,383.0,393.0,328.0,84.2,10.0,10.0,0,0,3.438421052631579,-101.69736842105264,8.796666666666667,48,beauce_5_sa_048
2,2,92.0,-6.0,4.0,9.3,18.5,123.0,254.0,393.0,341.0,69.4,56.1,10.0,0,0,4.863684210526316,-19.314210526315787,8.97888888888889,49,beauce_5_sa_049
3,2,83.0,-17.0,1.3,19.0,14.6,160.0,275.0,309.0,344.0,28.3,77.3,17.7,0,0,4.515789473684211,-4.320000000000001,8.904444444444444,50,beauce_5_sa_050
3,0,52.0,-20.0,2.9,15.0,10.0,243.0,256.0,302.0,343.0,14.2,80.4,66.0,0,0,12.77,-85.74,8.821111111111112,51,beauce_5_sa_051
1,0,100.0,-20.0,3.2,15.0,10.0,123.0,383.0,393.0,341.0,20.0,10.0,10.0,0,0,2.4631578947368418,-84.98947368421052,6.132222222222222,52,beauce_5_sa_052
3,0,104.0,-20.0,3.5,15.0,10.0,205.0,230.0,260.0,10.0,77.2,17.3,95.5,0,0,6.895263157894736,-40.75157894736842,8.862222222222222,53,beauce_5_sa_053
0,0,72.0,-20.0,3.7,15.0,10.0,259.0,383.0,393.0,12.0,10.0,10.0,10.0,0,0,1.9589473684210523,-174.6857894736842,5.414444444444444,54,beauce_5_sa_054
0,0,99.0,-20.0,1.8,15.0,10.0,259.0,383.0,393.0,334.0,10.0,10.0,10.0,0,0,2.62,-126.6342105263158,5.517777777777777,55,beauce_5_sa_055
3,2,77.0,-7.0,3.0,7.3,1.0,213.0,281.0,282.0,17.0,55.7,43.7,87.3,0,0,11.321578947368424,-51.759473684210526,8.993333333333332,56,beauce_5_sa_056
0,0,45.0,-20.0,3.6,15.0,10.0,259.0,383.0,393.0,346.0,10.0,10.0,10.0,0,0,1.5699999999999998,-148.09684210526316,5.386666666666667,57,beauce_5_sa_057
3,0,60.0,-20.0,1.9,15.0,10.0,186.0,290.0,291.0,363.0,65.1,45.6,86.6,0,0,16.60421052631579,-144.04315789473685,8.996666666666666,58,beauce_5_sa_058
3,2,78.0,-12.0,3.5,14.0,19.7,295.0,296.0,297.0,356.0,56.5,53.2,75.6,0,0,16.23315789473684,-31.425263157894733,8.862222222222222,59,beauce_5_sa_059
1,0,103.0,-20.0,1.4,15.0,10.0,231.0,383.0,393.0,4.0,72.2,10.0,10.0,0,0,2.62,-123.53631578947368,8.544444444444444,60,beauce_5_sa_060
1,1,100.0,-6.0,2.3,16.3,10.0,294.0,383.0,393.0,343.0,49.8,10.0,10.0,0,0,3.473684210526316,-48.90842105263158,7.108888888888888,61,beauce_5_sa_061
1,0,56.0,-20.0,1.7,15.0,10.0,178.0,383.0,393.0,352.0,27.9,10.0,10.0,0,0,1.8189473684210529,-159.55315789473684,7.224444444444444,62,beauce_5_sa_062
1,0,100.0,-20.0,1.9,15.0,10.0,261.0,383.0,393.0,341.0,40.8,10.0,10.0,0,0,2.347368421052632,-123.00578947368422,7.644444444444444,63,beauce_5_sa_063
1,0,87.0,-20.0,2.9,15.0,10.0,301.0,383.0,393.0,12.0,21.7,10.0,10.0,0,0,2.305263157894737,-167.03842105263158,6.725555555555555,64,beauce_5_sa_064
3,0,89.0,-20.0,2.8,15.0,10.0,257.0,303.0,304.0,15.0,41.0,92.9,40.5,0,0,14.787894736842109,-101.66052631578948,8.925555555555555,65,beauce_5_sa_065
3,0,101.0,-20.0,1.6,15.0,10.0,275.0,276.0,277.0,341.0,38.3,90.6,95.3,0,0,19.97,-53.318421052631585,8.905555555555557,66,beauce_5_sa_066
2,1,59.0,-39.0,1.9,8.7,10.0,165.0,223.0,393.0,355.0,26.2,37.7,10.0,0,0,0.9389473684210526,-59.20631578947368,8.333333333333334,67,beauce_5_sa_067
0,0,60.0,-20.0,1.4,15.0,10.0,259.0,383.0,393.0,13.0,10.0,10.0,10.0,0,0,2.1005263157894736,-195.68947368421053,5.52,68,beauce_5_sa_068
0,1,56.0,-41.0,3.6,13.7,10.0,259.0,383.0,393.0,8.0,10.0,10.0,10.0,0,0,0.7699999999999999,-162.12105263157892,5.447777777777778,69,beauce_5_sa_069
1,0,75.0,-20.0,2.0,15.0,10.0,242.0,383.0,393.0,12.0,85.2,10.0,10.0,0,0,2.758947368421053,-68.28105263157894,8.563333333333333,70,beauce_5_sa_070
1,0,91.0,-20.0,1.9,15.0,10.0,205.0,383.0,393.0,340.0,25.9,10.0,10.0,0,0,2.274736842105263,-138.18473684210525,7.165555555555555,71,beauce_5_sa_071
2,0,96.0,-20.0,3.2,15.0,10.0,214.0,240.0,393.0,334.0,26.2,15.4,10.0,0,0,2.3326315789473684,-67.84842105263158,7.2444444444444445,72,beauce_5_sa_072
0,0,54.0,-20.0,1.2,15.0,10.0,259.0,383.0,393.0,348.0,10.0,10.0,10.0,0,0,1.5289473684210526,-141.55052631578948,5.408888888888889,73,beauce_5_sa_073
0,0,77.0,-20.0,1.0,15.0,10.0,259.0,383.0,393.0,341.0,10.0,10.0,10.0,0,0,1.4768421052631575,-105.13421052631578,5.192222222222222,74,beauce_5_sa_074
3,0,87.0,-20.0,2.7,15.0,10.0,318.0,319.0,320.0,328.0,33.1,11.5,49.3,0,0,10.035789473684211,-59.925789473684205,8.005555555555555,75,beauce_5_sa_075
