feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
2,0,74.0,-20.0,1.6,15.0,10.0,303.0,304.0,393.0,9.0,19.2,62.2,10.0,0,0,7.69842105263158,-142.81473684210528,8.14111111111111,1691,beauce_5_sa_091
1,0,51.0,-20.0,3.3,15.0,10.0,140.0,383.0,393.0,355.0,12.3,10.0,10.0,0,0,1.7410526315789472,-138.58526315789473,6.085555555555556,1692,beauce_5_sa_092
1,0,48.0,-20.0,2.7,15.0,10.0,305.0,383.0,393.0,344.0,25.7,10.0,10.0,0,0,3.0452631578947367,-131.55526315789476,6.492222222222222,1693,beauce_5_sa_093
2,1,78.0,-6.0,2.3,4.4,10.0,222.0,313.0,393.0,355.0,85.9,96.3,10.0,0,0,9.574736842105262,-22.201052631578943,8.983333333333333,1694,beauce_5_sa_094
0,0,88.0,-20.0,1.2,15.0,10.0,259.0,383.0,393.0,10.0,10.0,10.0,10.0,0,0,1.950526315789474,-160.9936842105263,5.434444444444444,1695,beauce_5_sa_095
1,2,97.0,-28.0,2.7,8.4,17.3,183.0,383.0,393.0,5.0,38.7,10.0,10.0,0,0,1.59,-78.41473684210527,7.393333333333334,1696,beauce_5_sa_096
2,2,71.0,-23.0,1.7,6.6,18.9,197.0,323.0,393.0,1.0,11.7,78.5,10.0,0,0,5.627368421052632,-83.62,8.255555555555555,1697,beauce_5_sa_097
3,0,53.0,-20.0,3.2,15.0,10.0,270.0,321.0,322.0,340.0,33.4,64.0,36.3,0,0,9.32842105263158,-37.5878947368421,8.649999999999999,1698,beauce_5_sa_098
3,1,105.0,-29.0,3.6,11.0,10.0,282.0,283.0,284.0,12.0,92.7,32.8,80.3,0,0,15.57,-31.0978947368421,8.916666666666666,1699,beauce_5_sa_099
2,0,73.0,-20.0,1.8,15.0,10.0,130.0,287.0,393.0,361.0,66.8,95.6,10.0,0,0,12.013157894736842,-119.49052631578948,8.996666666666666,1700,beauce_5_sa_000
2,1,69.0,-19.0,3.5,14.6,10.0,233.0,317.0,393.0,16.0,21.6,21.1,10.0,0,0,2.501578947368421,-113.05894736842104,7.161111111111111,1701,beauce_5_sa_001
1,2,75.0,-25.0,3.1,18.0,10.4,248.0,383.0,393.0,326.0,93.9,10.0,10.0,0,0,2.657368421052632,6.759473684210526,8.524444444444445,1702,beauce_5_sa_002
3,2,58.0,-42.0,2.8,15.6,23.8,320.0,321.0,322.0,346.0,31.9,75.6,64.6,0,0,12.820526315789474,-91.99842105263158,8.834444444444445,1703,beauce_5_sa_003
3,0,48.0,-20.0,3.9,15.0,10.0,129.0,295.0,296.0,348.0,94.8,37.6,29.5,0,0,11.166315789473684,-75.94842105263157,8.981111111111112,1704,beauce_5_sa_004
3,1,51.0,-36.0,2.2,13.7,10.0,173.0,213.0,252.0,8.0,29.4,28.7,20.9,0,0,1.3078947368421054,-82.81052631578946,8.622222222222222,1705,beauce_5_sa_005
1,0,70.0,-20.0,2.5,15.0,10.0,257.0,383.0,393.0,349.0,19.4,10.0,10.0,0,0,1.5726315789473684,-121.52368421052633,6.523333333333333,1706,beauce_5_sa_006
3,2,78.0,-35.0,3.1,19.9,13.9,173.0,217.0,317.0,351.0,72.0,97.1,80.9,0,0,15.07421052631579,-35.32368421052632,8.907777777777778,1707,beauce_5_sa_007
0,0,81.0,-20.0,2.6,15.0,10.0,259.0,383.0,393.0,3.0,10.0,10.0,10.0,0,0,1.9273684210526312,-161.75947368421055,5.488888888888889,1708,beauce_5_sa_008
0,2,92.0,-8.0,1.7,2.0,4.3,259.0,383.0,393.0,11.0,10.0,10.0,10.0,0,0,1.6163157894736842,-144.95736842105262,5.372222222222223,1709,beauce_5_sa_009
1,0,62.0,-20.0,1.6,15.0,10.0,282.0,383.0,393.0,352.0,84.6,10.0,10.0,0,0,6.066315789473684,-117.28526315789476,8.312222222222223,1710,beauce_5_sa_010
2,0,49.0,-20.0,3.0,15.0,10.0,296.0,297.0,393.0,347.0,45.5,24.5,10.0,0,0,5.7642105263157895,-65.80368421052631,7.484444444444445,1711,beauce_5_sa_011
2,0,78.0,-20.0,2.0,15.0,10.0,169.0,300.0,393.0,336.0,58.4,99.6,10.0,0,0,9.023157894736842,10.327894736842106,8.975555555555555,1712,beauce_5_sa_012
0,1,67.0,-23.0,1.2,18.6,10.0,259.0,383.0,393.0,345.0,10.0,10.0,10.0,0,0,0.9310526315789476,-108.0221052631579,5.382222222222222,1713,beauce_5_sa_013
0,2,97.0,-16.0,1.4,14.8,5.8,259.0,383.0,393.0,7.0,10.0,10.0,10.0,0,0,1.3810526315789475,-132.56578947368422,5.3788888888888895,1714,beauce_5_sa_014
3,0,87.0,-20.0,1.5,15.0,10.0,244.0,245.0,294.0,363.0,69.7,87.0,70.8,0,0,17.144736842105264,-78.6021052631579,8.885555555555555,1715,beauce_5_sa_015
0,0,54.0,-20.0,3.5,15.0,10.0,259.0,383.0,393.0,1.0,10.0,10.0,10.0,0,0,1.766842105263158,-166.51315789473685,5.346666666666667,1716,beauce_5_sa_016
1,0,86.0,-20.0,3.4,15.0,10.0,176.0,383.0,393.0,352.0,23.9,10.0,10.0,0,0,1.8368421052631576,-116.88894736842104,6.77888888888889,1717,beauce_5_sa_017
3,0,95.0,-20.0,3.0,15.0,10.0,302.0,303.0,304.0,340.0,51.6,64.5,64.2,0,0,16.60842105263158,-3.5100000000000007,8.785555555555556,1718,beauce_5_sa_018
2,2,83.0,-13.0,3.8,23.2,7.6,248.0,276.0,393.0,349.0,52.4,39.0,10.0,0,0,1.611578947368421,-10.9521052631579,8.63,1719,beauce_5_sa_019
1,2,73.0,-39.0,1.8,4.7,8.6,259.0,383.0,393.0,346.0,97.5,10.0,10.0,0,0,1.9857894736842108,-41.57421052631579,8.711111111111112,1720,beauce_5_sa_020
1,0,67.0,-20.0,2.1,15.0,10.0,244.0,383.0,393.0,18.0,92.1,10.0,10.0,0,0,4.42421052631579,-81.62578947368422,8.537777777777778,1721,beauce_5_sa_021
0,2,69.0,-28.0,2.8,14.1,12.6,259.0,383.0,393.0,346.0,10.0,10.0,10.0,0,0,0.6747368421052632,-102.9757894736842,5.423333333333334,1722,beauce_5_sa_022
2,0,85.0,-20.0,2.0,15.0,10.0,148.0,216.0,393.0,356.0,54.4,48.3,10.0,0,0,3.7294736842105265,-57.70894736842106,8.866666666666667,1723,beauce_5_sa_023
0,0,84.0,-20.0,1.8,15.0,10.0,259.0,383.0,393.0,14.0,10.0,10.0,10.0,0,0,2.238421052631579,-203.5894736842105,5.785555555555556,1724,beauce_5_sa_024
1,1,73.0,-8.0,2.3,22.8,10.0,106.0,383.0,393.0,327.0,61.1,10.0,10.0,0,0,4.956315789473685,-59.30947368421053,7.760000000000001,1725,beauce_5_sa_025
3,0,61.0,-20.0,1.0,15.0,10.0,206.0,311.0,312.0,324.0,38.5,87.5,19.7,0,0,7.683684210526316,8.508947368421053,8.86111111111111,1726,beauce_5_sa_026
3,0,68.0,-20.0,1.5,15.0,10.0,254.0,312.0,313.0,17.0,79.7,93.7,47.7,0,0,23.416842105263157,-137.1978947368421,8.963333333333333,1727,beauce_5_sa_027
3,1,102.0,-26.0,1.0,18.4,10.0,196.0,224.0,322.0,353.0,53.0,55.0,78.9,0,0,6.813684210526316,8.671052631578947,8.975555555555555,1728,beauce_5_sa_028
3,2,56.0,-20.0,3.4,6.0,11.8,177.0,247.0,249.0,351.0,94.9,30.4,10.1,0,0,2.871578947368421,-38.25368421052632,8.995555555555557,1729,beauce_5_sa_029
1,1,100.0,-41.0,1.9,11.5,10.0,310.0,383.0,393.0,328.0,46.3,10.0,10.0,0,0,4.042631578947368,-54.01631578947368,6.847777777777778,1730,beauce_5_sa_030
2,2,65.0,-17.0,3.3,21.0,18.4,119.0,296.0,393.0,5.0,28.2,41.8,10.0,0,0,3.738947368421053,-77.06526315789473,7.924444444444443,1731,beauce_5_sa_031
2,0,45.0,-20.0,2.1,15.0,10.0,204.0,261.0,393.0,351.0,21.9,56.8,10.0,0,0,4.310526315789473,-65.47263157894737,8.103333333333333,1732,beauce_5_sa_032
3,0,70.0,-20.0,2.1,15.0,10.0,236.0,253.0,276.0,351.0,38.2,54.9,21.6,0,0,3.499473684210526,-19.729473684210525,8.828888888888889,1733,beauce_5_sa_033
0,2,66.0,-38.0,2.2,6.8,8.6,259.0,383.0,393.0,4.0,10.0,10.0,10.0,0,0,0.9063157894736842,-142.51105263157896,5.521111111111111,1734,beauce_5_sa_034
3,2,65.0,-16.0,1.7,12.4,24.6,140.0,230.0,297.0,363.0,29.4,76.4,43.3,0,0,4.646315789473684,-39.49210526315789,8.995555555555557,1735,beauce_5_sa_035
2,1,98.0,-36.0,1.9,12.5,10.0,132.0,218.0,393.0,332.0,66.8,79.7,10.0,0,0,5.778947368421052,18.17684210526316,8.988888888888889,1736,beauce_5_sa_036
1,0,62.0,-20.0,1.5,15.0,10.0,192.0,383.0,393.0,329.0,21.5,10.0,10.0,0,0,1.5189473684210526,-117.77105263157895,6.795555555555556,1737,beauce_5_sa_037
2,1,53.0,-29.0,3.9,16.4,10.0,146.0,312.0,393.0,334.0,69.8,86.5,10.0,0,0,6.634736842105263,-25.338421052631578,8.982222222222223,1738,beauce_5_sa_038
2,2,88.0,-25.0,3.8,14.3,1.1,154.0,318.0,393.0,353.0,16.4,57.2,10.0,0,0,3.478947368421052,-50.853157894736846,8.014444444444443,1739,beauce_5_sa_039
3,1,58.0,-22.0,1.3,18.1,10.0,181.0,272.0,294.0,2.0,57.4,26.6,39.9,0,0,3.786315789473684,-53.55368421052631,8.933333333333334,1740,beauce_5_sa_040
0,0,60.0,-20.0,1.3,15.0,10.0,259.0,383.0,393.0,348.0,10.0,10.0,10.0,0,0,1.4947368421052634,-145.08,5.52,1741,beauce_5_sa_041
0,0,70.0,-20.0,3.6,15.0,10.0,259.0,383.0,393.0,339.0,10.0,10.0,10.0,0,0,1.4173684210526316,-121.61894736842105,5.412222222222223,1742,beauce_5_sa_042
2,0,55.0,-20.0,3.1,15.0,10.0,244.0,304.0,393.0,3.0,37.4,96.8,10.0,0,0,9.189473684210526,-63.24684210526315,8.666666666666666,1743,beauce_5_sa_043
1,0,75.0,-20.0,3.9,15.0,10.0,288.0,383.0,393.0,13.0,40.9,10.0,10.0,0,0,3.3642105263157895,-138.87894736842105,7.140000000000001,1744,beauce_5_sa_044
3,1,55.0,-34.0,1.2,16.6,10.0,299.0,300.0,322.0,9.0,55.0,96.7,82.7,0,0,27.231052631578947,-114.91315789473684,8.863333333333333,1745,beauce_5_sa_045
1,2,89.0,-33.0,1.6,3.8,4.0,180.0,383.0,393.0,359.0,76.2,10.0,10.0,0,0,2.4810526315789474,-32.64684210526316,8.493333333333332,1746,beauce_5_sa_046
3,0,58.0,-20.0,2.3,15.0,10.0,238.0,239.0,255.0,329.0,69.0,99.3,42.1,0,0,14.789473684210526,-13.233157894736843,8.946666666666665,1747,beauce_5_sa_047
2,0,47.0,-20.0,3.1,15.0,10.0,192.0,321.0,393.0,16.0,20.6,86.4,10.0,0,0,9.635789473684213,-112.81,8.362222222222222,1748,beauce_5_sa_048
0,0,74.0,-20.0,1.8,15.0,10.0,259.0,383.0,393.0,364.0,10.0,10.0,10.0,0,0,1.8063157894736843,-183.99263157894737,5.806666666666667,1749,beauce_5_sa_049
2,1,75.0,-27.0,3.9,4.4,10.0,180.0,243.0,393.0,333.0,36.8,66.3,10.0,0,0,1.6352631578947368,-3.5594736842105306,8.924444444444443,1750,beauce_5_sa_050
3,0,66.0,-20.0,3.5,15.0,10.0,177.0,246.0,292.0,324.0,88.2,17.2,85.5,0,0,9.789473684210526,-1.7005263157894752,8.993333333333332,1751,beauce_5_sa_051
0,2,65.0,-14.0,2.8,8.9,24.6,259.0,383.0,393.0,328.0,10.0,10.0,10.0,0,0,1.0378947368421052,-89.94631578947369,5.275555555555555,1752,beauce_5_sa_052
0,0,56.0,-20.0,2.9,15.0,10.0,259.0,383.0,393.0,363.0,10.0,10.0,10.0,0,0,1.6994736842105262,-179.3684210526316,5.585555555555556,1753,beauce_5_sa_053
0,0,53.0,-20.0,1.5,15.0,10.0,259.0,383.0,393.0,348.0,10.0,10.0,10.0,0,0,1.66,-161.79315789473685,5.62,1754,beauce_5_sa_054
3,0,55.0,-20.0,3.1,15.0,10.0,250.0,252.0,253.0,6.0,51.3,63.2,93.9,0,0,22.357894736842105,-59.95789473684209,8.831111111111111,1755,beauce_5_sa_055
3,2,75.0,-34.0,1.1,22.5,4.5,168.0,275.0,284.0,352.0,92.0,33.3,21.8,0,0,3.184736842105263,-7.108947368421059,8.995555555555557,1756,beauce_5_sa_056
1,0,93.0,-20.0,3.8,15.0,10.0,174.0,383.0,393.0,332.0,44.6,10.0,10.0,0,0,3.2626315789473685,-87.27315789473684,7.468888888888888,1757,beauce_5_sa_057
2,2,101.0,-13.0,2.8,20.4,15.9,148.0,255.0,393.0,344.0,67.4,57.9,10.0,0,0,3.7463157894736847,-14.167368421052634,8.986666666666666,1758,beauce_5_sa_058
2,1,60.0,-22.0,2.6,11.8,10.0,292.0,293.0,393.0,358.0,41.5,61.7,10.0,0,0,6.723684210526316,-73.89684210526316,8.401111111111112,1759,beauce_5_sa_059
3,0,64.0,-20.0,2.5,15.0,10.0,315.0,316.0,317.0,333.0,38.3,90.1,89.1,0,0,19.304736842105264,-35.83578947368421,8.87,1760,beauce_5_sa_060
3,2,75.0,-20.0,3.6,15.5,3.2,318.0,319.0,320.0,339.0,95.7,40.8,14.7,0,0,12.22578947368421,-27.26368421052632,8.757777777777777,1761,beauce_5_sa_061
3,1,61.0,-20.0,3.1,19.0,10.0,290.0,291.0,292.0,361.0,55.0,22.2,60.2,0,0,10.314736842105262,-52.039473684210535,8.604444444444445,1762,beauce_5_sa_062
2,1,95.0,-9.0,3.5,4.5,10.0,251.0,252.0,393.0,364.0,83.8,45.2,10.0,0,0,3.9347368421052633,-28.243157894736843,8.85888888888889,1763,beauce_5_sa_063
2,0,94.0,-20.0,3.9,15.0,10.0,120.0,241.0,393.0,8.0,77.5,23.8,10.0,0,0,5.445263157894736,-104.72473684210526,8.89111111111111,1764,beauce_5_sa_064
1,0,59.0,-20.0,1.6,15.0,10.0,126.0,383.0,393.0,5.0,70.1,10.0,10.0,0,0,5.282631578947369,-169.6963157894737,8.46,1765,beauce_5_sa_065
0,1,105.0,-29.0,1.7,21.1,10.0,259.0,383.0,393.0,3.0,10.0,10.0,10.0,0,0,1.2489473684210526,-116.71157894736842,5.328888888888889,1766,beauce_5_sa_066
2,0,54.0,-20.0,1.9,15.0,10.0,121.0,269.0,393.0,365.0,67.3,87.1,10.0,0,0,12.111578947368422,-158.20526315789473,8.987777777777778,1767,beauce_5_sa_067
2,0,77.0,-20.0,2.4,15.0,10.0,132.0,291.0,393.0,333.0,99.9,93.1,10.0,0,0,13.785789473684211,-16.597368421052636,8.993333333333332,1768,beauce_5_sa_068
0,2,58.0,-24.0,2.8,16.6,3.5,259.0,383.0,393.0,362.0,10.0,10.0,10.0,0,0,0.903684210526316,-141.16368421052633,5.416666666666667,1769,beauce_5_sa_069
1,1,62.0,-6.0,2.3,15.5,10.0,138.0,383.0,393.0,16.0,99.7,10.0,10.0,0,0,6.622631578947368,-107.38736842105264,8.78111111111111,1770,beauce_5_sa_070
3,0,92.0,-20.0,2.3,15.0,10.0,169.0,226.0,321.0,353.0,65.5,63.6,68.5,0,0,8.918421052631578,-16.509999999999998,8.955555555555556,1771,beauce_5_sa_071
2,1,101.0,-34.0,3.7,11.1,10.0,194.0,243.0,393.0,355.0,67.9,86.9,10.0,0,0,2.038421052631579,25.037368421052623,8.943333333333335,1772,beauce_5_sa_072
2,0,99.0,-20.0,3.5,15.0,10.0,151.0,309.0,393.0,351.0,74.8,77.3,10.0,0,0,9.17263157894737,-35.164210526315784,8.991111111111111,1773,beauce_5_sa_073
1,0,46.0,-20.0,2.0,15.0,10.0,171.0,383.0,393.0,347.0,72.0,10.0,10.0,0,0,1.903684210526316,-57.16052631578947,8.345555555555556,1774,beauce_5_sa_074
3,0,82.0,-20.0,2.6,15.0,10.0,130.0,315.0,316.0,6.0,42.3,43.2,58.4,0,0,11.523684210526316,-87.27315789473684,8.933333333333334,1775,beauce_5_sa_075
1,0,87.0,-20.0,2.6,15.0,10.0,196.0,383.0,393.0,362.0,75.7,10.0,10.0,0,0,3.0594736842105266,-115.38105263157894,8.603333333333333,1776,beauce_5_sa_076
2,1,51.0,-31.0,3.4,18.5,10.0,238.0,249.0,393.0,13.0,86.5,96.0,10.0,0,0,16.13684210526316,-123.67578947368422,8.857777777777777,1777,beauce_5_sa_077
1,2,71.0,-28.0,2.2,5.0,11.3,206.0,383.0,393.0,2.0,63.5,10.0,10.0,0,0,1.2389473684210526,-53.65894736842105,8.214444444444446,1778,beauce_5_sa_078
3,1,52.0,-9.0,1.9,18.2,10.0,205.0,290.0,291.0,331.0,29.1,27.0,54.3,0,0,5.172631578947368,-13.708947368421054,8.60888888888889,1779,beauce_5_sa_079
1,0,95.0,-20.0,3.0,15.0,10.0,191.0,383.0,393.0,13.0,29.1,10.0,10.0,0,0,2.254210526315789,-132.24947368421053,6.87,1780,beauce_5_sa_080
3,0,103.0,-20.0,3.9,15.0,10.0,314.0,315.0,316.0,335.0,46.4,32.6,97.5,0,0,18.292105263157897,-36.93421052631579,8.717777777777778,1781,beauce_5_sa_081
2,0,51.0,-20.0,2.8,15.0,10.0,144.0,281.0,393.0,3.0,86.3,15.8,10.0,0,0,4.556315789473683,-126.2642105263158,8.934444444444445,1782,beauce_5_sa_082
0,2,92.0,-31.0,3.2,24.7,14.2,259.0,383.0,393.0,359.0,10.0,10.0,10.0,0,0,0.9136842105263158,-107.9657894736842,5.466666666666667,1783,beauce_5_sa_083
3,0,62.0,-20.0,1.3,15.0,10.0,138.0,322.0,323.0,364.0,35.2,74.6,58.8,0,0,13.234736842105264,-90.72842105263156,8.93,1784,beauce_5_sa_084
1,2,100.0,-21.0,3.6,21.2,22.3,170.0,383.0,393.0,341.0,33.9,10.0,10.0,0,0,1.7815789473684212,-60.25052631578947,7.057777777777777,1785,beauce_5_sa_085
1,0,49.0,-20.0,2.4,15.0,10.0,155.0,383.0,393.0,350.0,55.5,10.0,10.0,0,0,2.0521052631578947,-105.98263157894738,8.032222222222224,1786,beauce_5_sa_086
2,0,86.0,-20.0,2.9,15.0,10.0,271.0,272.0,393.0,346.0,26.5,23.6,10.0,0,0,2.0868421052631576,-103.23842105263158,7.835555555555555,1787,beauce_5_sa_087
3,0,80.0,-20.0,3.3,15.0,10.0,257.0,304.0,305.0,354.0,93.4,38.5,94.5,0,0,17.817368421052635,-27.43473684210527,8.946666666666667,1788,beauce_5_sa_088
1,2,49.0,-42.0,3.7,24.8,14.3,118.0,383.0,393.0,365.0,78.2,10.0,10.0,0,0,3.646842105263158,-91.09368421052632,8.457777777777778,1789,beauce_5_sa_089
0,0,52.0,-20.0,2.4,15.0,10.0,259.0,383.0,393.0,17.0,10.0,10.0,10.0,0,0,2.343157894736842,-194.3978947368421,5.288888888888889,1790,beauce_5_sa_090
1,1,56.0,-32.0,4.0,13.2,10.0,235.0,383.0,393.0,9.0,61.8,10.0,10.0,0,0,1.461578947368421,-77.1821052631579,8.132222222222222,1791,beauce_5_sa_091
2,1,55.0,-28.0,1.4,13.3,10.0,158.0,315.0,393.0,345.0,26.7,79.0,10.0,0,0,5.144736842105263,-53.856842105263155,8.623333333333333,1792,beauce_5_sa_092
3,0,70.0,-20.0,1.8,15.0,10.0,281.0,282.0,294.0,8.0,17.3,25.7,57.0,0,0,8.665263157894737,-150.1042105263158,8.506666666666668,1793,beauce_5_sa_093
1,1,72.0,-17.0,2.9,14.5,10.0,320.0,383.0,393.0,333.0,49.7,10.0,10.0,0,0,3.747368421052632,-54.21368421052631,7.068888888888889,1794,beauce_5_sa_094
0,0,71.0,-20.0,1.9,15.0,10.0,259.0,383.0,393.0,335.0,10.0,10.0,10.0,0,0,1.5957894736842106,-144.8942105263158,5.783333333333333,1795,beauce_5_sa_095
0,1,70.0,-23.0,1.2,21.4,10.0,259.0,383.0,393.0,327.0,10.0,10.0,10.0,0,0,1.1378947368421053,-86.89315789473685,5.235555555555555,1796,beauce_5_sa_096
0,2,69.0,-8.0,1.3,5.9,21.6,259.0,383.0,393.0,331.0,10.0,10.0,10.0,0,0,1.1426315789473684,-93.65526315789474,5.242222222222222,1797,beauce_5_sa_097
0,0,75.0,-20.0,1.3,15.0,10.0,259.0,383.0,393.0,353.0,10.0,10.0,10.0,0,0,1.608947368421053,-143.53263157894736,5.515555555555555,1798,beauce_5_sa_098
3,0,70.0,-20.0,3.7,15.0,10.0,109.0,298.0,299.0,331.0,84.5,98.8,41.1,0,0,18.762105263157896,-20.53157894736842,8.99,1799,beauce_5_sa_099
3,1,69.0,-7.0,2.8,18.3,10.0,230.0,247.0,258.0,339.0,14.5,96.4,35.0,0,0,5.064736842105264,5.459473684210528,8.89111111111111,1800,beauce_5_sa_000
2,2,87.0,-6.0,1.4,14.2,4.9,154.0,259.0,393.0,330.0,55.4,86.3,10.0,0,0,4.834210526315789,19.48421052631579,8.98,1801,beauce_5_sa_001
3,0,65.0,-20.0,3.0,15.0,10.0,126.0,321.0,322.0,350.0,62.0,51.4,46.3,0,0,10.897368421052631,-15.490526315789475,8.956666666666667,1802,beauce_5_sa_002
1,0,70.0,-20.0,1.9,15.0,10.0,221.0,383.0,393.0,359.0,10.8,10.0,10.0,0,0,1.7089473684210523,-176.98263157894738,6.452222222222222,1803,beauce_5_sa_003
1,1,72.0,-44.0,2.7,7.6,10.0,204.0,383.0,393.0,349.0,79.7,10.0,10.0,0,0,1.1847368421052633,-31.958421052631586,8.649999999999999,1804,beauce_5_sa_004
3,0,78.0,-20.0,2.2,15.0,10.0,254.0,308.0,315.0,362.0,82.8,58.1,50.4,0,0,13.983684210526317,-39.00315789473684,8.945555555555556,1805,beauce_5_sa_005
0,0,80.0,-20.0,1.3,15.0,10.0,259.0,383.0,393.0,332.0,10.0,10.0,10.0,0,0,1.9684210526315788,-113.33210526315789,5.351111111111112,1806,beauce_5_sa_006
0,0,72.0,-20.0,1.9,15.0,10.0,259.0,383.0,393.0,356.0,10.0,10.0,10.0,0,0,1.64,-177.81315789473683,5.87,1807,beauce_5_sa_007
0,2,47.0,-30.0,1.6,1.9,9.2,259.0,383.0,393.0,323.0,10.0,10.0,10.0,0,0,0.3684210526315789,-92.5557894736842,5.514444444444444,1808,beauce_5_sa_008
3,0,88.0,-20.0,3.5,15.0,10.0,191.0,254.0,297.0,334.0,21.7,87.6,66.9,0,0,9.648421052631578,-6.132631578947369,8.940000000000001,1809,beauce_5_sa_009
1,1,102.0,-27.0,1.3,21.4,10.0,303.0,383.0,393.0,15.0,40.5,10.0,10.0,0,0,2.6605263157894736,-96.53105263157894,6.948888888888889,1810,beauce_5_sa_010
0,2,106.0,-23.0,3.2,6.7,12.9,259.0,383.0,393.0,11.0,10.0,10.0,10.0,0,0,1.401578947368421,-133.9457894736842,5.405555555555555,1811,beauce_5_sa_011
2,1,68.0,-39.0,4.0,7.8,10.0,172.0,275.0,393.0,328.0,50.2,38.8,10.0,0,0,1.9352631578947368,-15.322631578947368,8.723333333333334,1812,beauce_5_sa_012
2,2,72.0,-44.0,1.1,12.7,8.2,257.0,258.0,393.0,328.0,22.9,75.4,10.0,0,0,2.8952631578947368,-25.417368421052625,8.598888888888888,1813,beauce_5_sa_013
0,1,51.0,-36.0,1.6,7.0,10.0,259.0,383.0,393.0,8.0,10.0,10.0,10.0,0,0,0.8763157894736842,-164.90157894736842,5.347777777777778,1814,beauce_5_sa_014
2,1,65.0,-27.0,2.4,23.0,10.0,196.0,281.0,393.0,363.0,28.2,24.7,10.0,0,0,0.9578947368421052,-57.59105263157895,7.831111111111111,1815,beauce_5_sa_015
1,1,52.0,-44.0,1.2,24.7,10.0,270.0,383.0,393.0,1.0,39.0,10.0,10.0,0,0,1.0121052631578948,-110.9963157894737,7.196666666666666,1816,beauce_5_sa_016
3,1,86.0,-38.0,2.4,20.9,10.0,314.0,315.0,316.0,331.0,19.1,15.6,17.0,0,0,3.7094736842105265,-55.45894736842106,7.171111111111112,1817,beauce_5_sa_017
3,1,97.0,-21.0,1.0,19.2,10.0,164.0,269.0,270.0,17.0,44.0,65.8,63.6,0,0,7.45,-32.51684210526315,8.945555555555556,1818,beauce_5_sa_018
1,0,103.0,-20.0,1.2,15.0,10.0,217.0,383.0,393.0,1.0,90.6,10.0,10.0,0,0,2.978947368421053,-90.33736842105264,8.801111111111112,1819,beauce_5_sa_019
2,0,101.0,-20.0,3.4,15.0,10.0,318.0,319.0,393.0,12.0,42.3,82.3,10.0,0,0,11.918947368421051,-75.87947368421052,8.436666666666667,1820,beauce_5_sa_020
0,2,63.0,-31.0,2.2,16.7,14.9,259.0,383.0,393.0,336.0,10.0,10.0,10.0,0,0,0.6710526315789473,-94.06,5.496666666666666,1821,beauce_5_sa_021
1,1,81.0,-33.0,2.2,19.8,10.0,267.0,383.0,393.0,360.0,82.9,10.0,10.0,0,0,2.0094736842105263,-42.397368421052626,8.437777777777777,1822,beauce_5_sa_022
1,0,61.0,-20.0,1.7,15.0,10.0,122.0,383.0,393.0,328.0,86.0,10.0,10.0,0,0,5.382105263157895,-106.82631578947368,8.735555555555557,1823,beauce_5_sa_023
0,0,99.0,-20.0,1.9,15.0,10.0,259.0,383.0,393.0,342.0,10.0,10.0,10.0,0,0,2.185263157894737,-143.69684210526316,5.7122222222222225,1824,beauce_5_sa_024
3,2,75.0,-14.0,2.9,20.1,21.4,245.0,246.0,276.0,12.0,52.8,15.7,67.4,0,0,6.176842105263158,-52.515263157894736,8.86,1825,beauce_5_sa_025
1,1,104.0,-21.0,1.4,14.9,10.0,138.0,383.0,393.0,330.0,60.0,10.0,10.0,0,0,4.86421052631579,-47.925789473684205,7.687777777777778,1826,beauce_5_sa_026
0,0,76.0,-20.0,1.9,15.0,10.0,259.0,383.0,393.0,347.0,10.0,10.0,10.0,0,0,1.656842105263158,-160.1563157894737,5.831111111111111,1827,beauce_5_sa_027
2,0,55.0,-20.0,2.8,15.0,10.0,182.0,222.0,393.0,331.0,28.3,59.2,10.0,0,0,1.598947368421053,-74.58,8.832222222222223,1828,beauce_5_sa_028
0,0,53.0,-20.0,2.5,15.0,10.0,259.0,383.0,393.0,349.0,10.0,10.0,10.0,0,0,1.5694736842105264,-148.47736842105263,5.442222222222223,1829,beauce_5_sa_029
2,0,73.0,-20.0,2.2,15.0,10.0,276.0,277.0,393.0,327.0,74.3,37.6,10.0,0,0,8.292631578947368,-20.385263157894737,8.415555555555555,1830,beauce_5_sa_030
1,2,81.0,-20.0,3.5,14.4,23.8,296.0,383.0,393.0,363.0,60.9,10.0,10.0,0,0,2.9089473684210527,-69.42631578947368,7.618888888888888,1831,beauce_5_sa_031
1,0,94.0,-20.0,3.4,15.0,10.0,214.0,383.0,393.0,334.0,31.8,10.0,10.0,0,0,2.413684210526316,-81.06263157894738,6.873333333333333,1832,beauce_5_sa_032
1,0,87.0,-20.0,2.1,15.0,10.0,170.0,383.0,393.0,14.0,99.6,10.0,10.0,0,0,4.633157894736843,-93.28526315789476,8.848888888888888,1833,beauce_5_sa_033
2,0,63.0,-20.0,2.5,15.0,10.0,262.0,312.0,393.0,338.0,19.3,72.5,10.0,0,0,5.520526315789474,-59.79631578947369,8.372222222222222,1834,beauce_5_sa_034
0,2,76.0,-35.0,2.4,22.1,9.7,259.0,383.0,393.0,336.0,10.0,10.0,10.0,0,0,0.726842105263158,-81.14263157894737,5.386666666666667,1835,beauce_5_sa_035
