sortie,parametre,R2,p_anova,p_kruskal,n_groupes,n
N_lixi,Jour_Semis,0.8606498801548745,6.101106428645957e-24,2.111856920027147e-11,4,60
N_lixi,Jours_F2_F3,0.10766337604505664,0.09225913141584621,0.11128102506647754,4,60
N_lixi,type_f2_2,0.08504920658379544,0.07940274846205507,0.09015556694319789,3,60
N_lixi,Jours_semis_F1,0.0724716543402092,0.23569447821204012,0.2527023299172346,4,60
N_lixi,Dose_F2_2,0.06812299004550365,0.2629952482535654,0.31134722870580694,4,60
N_lixi,Jours_av_PREPA,0.06677250769624028,0.27201302011510503,0.22665096543849483,4,60
N_lixi,Jours_F1_F2,0.06581640145989738,0.2785572488266963,0.2789921696468912,4,60
N_lixi,Dose_F3_1,0.04729551240825215,0.433946316325446,0.5109106760929383,4,60
N_lixi,Dose_F1_1,0.0452089988551387,0.455112199857145,0.43385772006582224,4,60
N_lixi,type_f2_1,0.039220153052950936,0.3197280347259199,0.2100270124793054,3,60
N_lixi,Dose_F3_2,0.03498936011537207,0.5698932267155363,0.4751528416403443,4,60
N_lixi,Dose_F1_2,0.03270525872007729,0.597988019502633,0.48743965103225895,4,60
N_lixi,prepa_2,0.028801193249716722,0.4347924499121663,0.5123958031957525,3,60
N_lixi,Dose_F2_1,0.028293158430018082,0.6545307481023598,0.800088384069304,4,60
N_lixi,type_f3_1,0.027802098914044,0.44772191747917467,0.415860932458758,3,60
N_lixi,nb_f2,0.026937590683091463,0.45920839829064003,0.4610390342103531,3,60
N_lixi,prepa_1,0.025684984769908385,0.4763572428665841,0.43609872019006013,3,60
N_lixi,Jours_op_recolte,0.01763028963772497,0.8000619342871792,0.7950113049226528,4,60
N_lixi,nb_f1,0.01560685331158121,0.6387112602628021,0.763572923479658,3,60
N_lixi,nb_prepa,0.015076091948278152,0.6485991420810372,0.7036046644870917,3,60
N_lixi,type_f1_1,0.014646813647265448,0.6567043171914365,0.8660632910154344,3,60
N_lixi,type_f3_2,0.011286454917534956,0.7236170499779585,0.7230164131144192,3,60
N_lixi,nb_f3,0.010828035318182912,0.7332402072047869,0.6699451344999929,3,60
N_lixi,has_prepa,0.007555562774382374,0.8056135298136909,0.8622728956972534,3,60
N_lixi,n_ferti,0.005907276775411883,0.8446299960731173,0.8400497428492506,3,60
N_lixi,type_f1_2,0.0007527935229471651,0.9787659897445613,0.9992034481937323,3,60
