annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2019;213;274;beauce_5_sa_000;solnu;;0.0;0.0;18.84;0.0;0.0;35.0;53.83;0.01;0.0;0;0;0;-209.26;0.0;0.01;0.0;0.0
2019;275;365;beauce_5_sa_000;BTH;;0.28;0.0;14.33;0.0;31.74;53.98;36.1;0.04;0.0;0;18.68;0;-161.33;0.03;0.01;0.0;0.28
2019;213;307;beauce_5_sa_001;solnu;;0.0;0.0;23.75;0.0;0.0;35.0;58.73;0.02;0.0;0;0;0;-262.03;0.01;0.01;0.0;0.0
2019;308;365;beauce_5_sa_001;BTH;;0.28;0.19;9.42;0.0;4.32;58.88;77.9;0.06;0.0;0;2.54;0;-108.47;0.05;0.01;0.19;0.28
2019;213;270;beauce_5_sa_002;solnu;;0.0;0.0;18.13;0.0;0.0;35.0;53.12;0.01;0.0;0;0;0;-200.72;0.0;0.01;0.0;0.0
2019;271;365;beauce_5_sa_002;BTH;;0.33;0.0;15.03;0.0;36.02;53.33;31.76;0.03;0.0;0;21.2;0;-169.67;0.02;0.01;0.0;0.33
2019;213;260;beauce_5_sa_003;solnu;;0.0;0.0;15.94;0.0;0.0;35.0;50.93;0.01;0.0;0;0;0;-177.22;0.0;0.01;0.0;0.0
2019;261;365;beauce_5_sa_003;BTH;;0.33;0.0;17.4;0.0;51.19;51.13;16.8;0.01;0.0;0;30.12;0;-195.2;0.0;0.01;0.0;0.33
2019;213;269;beauce_5_sa_004;solnu;;0.0;0.0;17.91;0.0;0.0;35.0;52.9;0.01;0.0;0;0;0;-198.51;0.0;0.01;0.0;0.0
2019;270;365;beauce_5_sa_004;BTH;;0.33;0.0;15.23;0.0;37.94;53.11;29.83;0.03;0.0;0;22.33;0;-171.66;0.02;0.01;0.0;0.33
2019;213;262;beauce_5_sa_005;solnu;;0.0;0.0;16.32;0.0;0.0;35.0;51.31;0.01;0.0;0;0;0;-180.61;0.0;0.01;0.0;0.0
2019;263;365;beauce_5_sa_005;BTH;;0.32;0.0;16.83;0.0;47.14;51.61;20.67;0.02;0.0;0;27.74;0;-189.66;0.01;0.01;0.0;0.32
