sortie,parametre,median_ST,q25_ST,q75_ST,max_ST,n_regions,median_Q2,IQR_ST
N_lixi,has_prepa,0.181559196943883,0.13139257931522605,0.2488902682161207,0.4774460613495168,7,0.8752094735582828,0.11749768890089465
N_lixi,nb_f3,0.1438118029618213,0.01700407140857427,0.16545357260013033,0.2096760767922436,7,0.8752094735582828,0.14844950119155606
N_lixi,nb_f2,0.11016859412144984,0.10628050267451981,0.1714347001305811,0.7473988647606765,7,0.8752094735582828,0.06515419745606128
N_lixi,nb_prepa,0.10933566250709609,0.0120396574355339,0.15467730312038275,0.1683972352232931,7,0.8752094735582828,0.14263764568484885
N_lixi,nb_f1,0.10634491821718492,0.06640902033965115,0.11731169921866826,0.4648032516058401,7,0.8752094735582828,0.0509026788790171
N_lixi,type_f3_2,0.05640357130901235,0.007319444859164952,0.06120505191210977,0.10316756098287772,7,0.8752094735582828,0.05388560705294482
N_lixi,n_ferti,0.05380301862289915,0.010570305210390124,0.06958680059027217,0.14272861269533024,7,0.8752094735582828,0.059016495379882045
N_lixi,prepa_2,0.05358401370170263,0.0022911199660065676,0.05951944217321386,0.08396215497831641,7,0.8752094735582828,0.05722832220720729
N_lixi,Date_Semis,0.021438948167471612,0.0023504362583805956,0.06984464803560789,0.13410314079915214,7,0.8752094735582828,0.0674942117772273
N_lixi,Date_Recolte,0.019452771898967918,0.0017466686305156822,0.08030427532205396,0.15980443358966867,7,0.8752094735582828,0.07855760669153827
N_lixi,Delta_PREPA_Semis,0.013030738213955118,0.007097568504435974,0.05441241387046554,0.17232304257724762,7,0.8752094735582828,0.04731484536602956
N_lixi,Dose_F2_2,0.004626080780112362,0.0007773384089560611,0.4292545136794056,0.9963058016199655,7,0.8752094735582828,0.42847717527044954
N_lixi,type_f3_1,0.0019328724014027374,0.00021136592382672785,0.00506703066122547,0.02106805243703248,7,0.8752094735582828,0.004855664737398743
N_lixi,Dose_F3_2,0.0018130029564433817,0.00024106289953992717,0.0034605084649825335,0.021969321184597986,7,0.8752094735582828,0.0032194455654426064
N_lixi,Dose_F1_2,0.0012298977443857338,0.0006952415234909449,0.04666270086252241,0.8948263745119399,7,0.8752094735582828,0.045967459339031465
N_lixi,prepa_1,0.000958528116586734,0.0002884451388076844,0.005277959941303219,0.009238030532120276,7,0.8752094735582828,0.004989514802495535
N_lixi,Dose_F3_1,0.000771909711258346,0.00024253953243055226,0.0014055536812407209,0.011379212236195018,7,0.8752094735582828,0.0011630141488101686
N_lixi,Date_F3,0.0007614981232852602,0.0002109490817781637,0.002468157640307555,0.010791832520174842,7,0.8752094735582828,0.0022572085585293913
N_lixi,type_f2_2,0.0006513421922134332,0.0,0.009827122472014912,0.016257688371938885,7,0.8752094735582828,0.009827122472014912
N_lixi,Date_F2,0.0003160306076563299,1.3113933613977896e-06,0.0010496226009366612,0.011265218530654387,7,0.8752094735582828,0.0010483112075752633
N_lixi,Dose_F1_1,0.0002346991547448738,7.346831181352695e-05,0.0004450825227486345,0.004108345340950958,7,0.8752094735582828,0.0003716142109351075
N_lixi,Dose_F2_1,0.00020049307409144047,6.468521096091972e-05,0.0004137511011129502,0.004081586908897091,7,0.8752094735582828,0.0003490658901520305
N_lixi,type_f1_2,6.10956549165687e-05,0.0,0.0068677570423737915,0.01756332820719918,7,0.8752094735582828,0.0068677570423737915
N_lixi,Date_F1,0.0,0.0,0.00013783815321254662,0.007846166261957973,7,0.8752094735582828,0.00013783815321254662
N_lixi,type_f1_1,0.0,0.0,6.481028207966639e-05,0.00190806879953718,7,0.8752094735582828,6.481028207966639e-05
N_lixi,type_f2_1,0.0,0.0,0.00023166518173814955,0.001015488359373372,7,0.8752094735582828,0.00023166518173814955
dCorg,has_prepa,0.18831127710549397,0.1850914810920959,0.1942781444701151,0.20184961027112994,8,0.9936668502606874,0.00918666337801921
dCorg,nb_f3,0.18077677470459247,0.17710130625859705,0.18694821061948513,0.20622826461009325,8,0.9936668502606874,0.009846904360888087
dCorg,nb_prepa,0.17974278400924942,0.1775829502685999,0.1829023911651049,0.19068470959580092,8,0.9936668502606874,0.00531944089650499
dCorg,nb_f1,0.12681836133891217,0.11768770117259325,0.13426965617045872,0.15286230302957282,8,0.9936668502606874,0.016581954997865467
dCorg,nb_f2,0.12386849000023034,0.11863957411793198,0.13055720123042333,0.13335428835380314,8,0.9936668502606874,0.01191762711249135
dCorg,n_ferti,0.07538806600833257,0.07390151621083516,0.07743505800067962,0.08577467614307178,8,0.9936668502606874,0.0035335417898444688
dCorg,Date_Semis,0.07478560386028738,0.07040845523906461,0.08114606528859278,0.09714803935849467,8,0.9936668502606874,0.010737610049528168
dCorg,prepa_2,0.06399319703775666,0.06343463443291508,0.06467981693710198,0.06739579076770039,8,0.9936668502606874,0.001245182504186898
dCorg,type_f3_2,0.0638584985565788,0.06282006506780698,0.06556127240508217,0.07289736580953768,8,0.9936668502606874,0.0027412073372751894
dCorg,Date_Recolte,0.04085698763244653,0.03667707639672931,0.043768312603173674,0.059830720053671044,8,0.9936668502606874,0.007091236206444362
dCorg,type_f1_2,0.008399022196107355,3.4217285281725634e-06,0.01719658466768387,0.019631464578850878,8,0.9936668502606874,0.0171931629391557
dCorg,prepa_1,0.005578121577670495,0.0051060183718665084,0.0060815389983965564,0.010521949554632093,8,0.9936668502606874,0.000975520626530048
dCorg,type_f3_1,0.004937799293165287,0.004853654791898341,0.0050197975480055675,0.005711178140386388,8,0.9936668502606874,0.0001661427561072265
dCorg,Delta_PREPA_Semis,0.0006118336963446997,0.00044349120719835544,0.0007653147516145391,0.0040004416230344335,8,0.9936668502606874,0.00032182354441618363
dCorg,Dose_F3_2,6.911735669212638e-05,3.109265787159493e-05,0.00012489320633855635,0.0004460587816446016,8,0.9936668502606874,9.380054846696141e-05
dCorg,Dose_F2_2,6.496276743202356e-05,3.40696711668147e-05,0.00014560296767413987,0.030239802239286465,8,0.9936668502606874,0.00011153329650732517
dCorg,Date_F2,3.0109203872093763e-05,1.6397501927966382e-05,7.190392629294161e-05,0.000351089228441053,8,0.9936668502606874,5.550642436497523e-05
dCorg,Dose_F3_1,2.732986275148948e-05,2.0406321762503446e-05,4.422266203683934e-05,0.00015749962942703688,8,0.9936668502606874,2.3816340274335896e-05
dCorg,Dose_F1_2,1.79928260942826e-05,1.548887471124249e-05,7.10456896429757e-05,0.01460317396486113,8,0.9936668502606874,5.555681493173321e-05
dCorg,Dose_F2_1,1.6421682454771142e-05,6.075260406312536e-06,2.9911830011694776e-05,0.00010876574871055392,8,0.9936668502606874,2.383656960538224e-05
dCorg,Date_F3,1.4529501486875329e-05,1.2427197134532319e-05,2.2002639859116196e-05,3.559703660704185e-05,8,0.9936668502606874,9.575442724583877e-06
dCorg,Dose_F1_1,1.3912212960899408e-05,6.6048914560673844e-06,2.431870014045972e-05,6.592113442127064e-05,8,0.9936668502606874,1.7713808684392337e-05
dCorg,Date_F1,9.332798744421586e-06,8.40262723381886e-06,3.092738060272676e-05,4.773848443910017e-05,8,0.9936668502606874,2.2524753368907903e-05
dCorg,type_f2_1,1.3829867250554596e-06,0.0,6.426952145828598e-06,6.437537504874543e-05,8,0.9936668502606874,6.426952145828598e-06
dCorg,type_f1_1,0.0,0.0,3.8066691129188805e-06,2.666342895742771e-05,8,0.9936668502606874,3.8066691129188805e-06
dCorg,type_f2_2,0.0,0.0,0.004105708741586947,0.01751293682218112,8,0.9936668502606874,0.004105708741586947
rdt,has_prepa,0.23062739310939398,0.22497881394913283,0.3827361602674763,0.4892657942469754,7,0.7812209183177664,0.15775734631834348
rdt,nb_f3,0.20122999557886154,0.0611698054975852,0.20721047031154272,0.2107865997018352,7,0.7812209183177664,0.1460406648139575
rdt,nb_f2,0.13756670069207727,0.13569545851111026,0.2300111362779152,0.47772656916607925,7,0.7812209183177664,0.09431567776680494
rdt,nb_f1,0.13550139861467436,0.11001191647991612,0.14401987077451284,0.6332115317495749,7,0.7812209183177664,0.034007954294596715
