sortie,R2_train,Q2_test,MAE_test,RMSE_test,n_train,n_test,min_samples_leaf
N_lixi,0.7682640574000225,0.7497802326974055,0.1610093977865316,0.21578147959949434,7500,2500,120
dCorg,0.8790717146198734,0.8784096107788679,10.114552253610706,12.414755732280202,7500,2500,120
rdt,0.7686033703490491,0.763010716482039,0.047780370325976596,0.06712339876024596,7500,2500,120
