sortie,metamodele,Q2_test,R2_train_effectif,MAE_test,RMSE_test,n_train_total,n_train_effectif,n_test,statut
N_lixi,ExtraTrees,0.9865298194251437,0.9992984751926233,0.031028187092318762,0.05174401812821336,7500,7500,2500,ok
dCorg,XGBoost,0.9990792497030551,0.9994725525814072,0.7906071744628911,1.0919256745634887,7500,7500,2500,ok
rdt,ExtraTrees,0.9854186071639527,0.9990858982259909,0.01233498222954914,0.016420729107668054,7500,7500,2500,ok
