sortie,metamodele,Q2_test,R2_train_effectif,MAE_test,RMSE_test,n_train_total,n_train_effectif,n_test,statut
N_lixi,ExtraTrees,0.9865298194251437,0.9992984751926233,0.031028187092318762,0.05174401812821336,7500,7500,2500,ok
N_lixi,XGBoost,0.9860874690771946,0.9921616480942066,0.033706254621505734,0.05258677200653859,7500,7500,2500,ok
N_lixi,GaussianProcess,0.3944797240915362,0.9998524333891955,0.24855601388329607,0.3469267491277002,7500,1500,2500,ok
dCorg,XGBoost,0.9990792497030551,0.9994725525814072,0.7906071744628911,1.0919256745634887,7500,7500,2500,ok
dCorg,ExtraTrees,0.9986538081859635,0.9999133783259107,0.9443480883595239,1.3203091000473675,7500,7500,2500,ok
dCorg,GaussianProcess,0.46349906832256216,0.999991857800802,18.530862731124817,26.357692327540466,7500,1500,2500,ok
rdt,ExtraTrees,0.9854186071639527,0.9990858982259909,0.01233498222954914,0.016420729107668054,7500,7500,2500,ok
rdt,XGBoost,0.9826893827026005,0.9887903796847132,0.013754586418151846,0.017891601186951975,7500,7500,2500,ok
rdt,GaussianProcess,0.385437018788657,0.9999225410915011,0.07086441730288182,0.10660464534677973,7500,1500,2500,ok
