sortie,metamodele,R2_train,Q2_test,MAE_test,RMSE_test,n_train,n_test,degree,max_terms,n_terms_effectifs
N_lixi,SparsePCE,0.9227066297434613,0.9244574150591304,0.08782608810505149,0.11856302725165022,7500,2500,2,90,91
dCorg,SparsePCE,0.996792696980779,0.9965630309585517,1.615069193734752,2.087259107657888,7500,2500,2,90,91
rdt,SparsePCE,0.9123098100814383,0.9162806624134272,0.0318403919831229,0.03989536808864254,7500,2500,2,90,91
