sortie,metamodele,R2_train,Q2_test,MAE_test,RMSE_test,n_train,n_test
N_lixi,GaussianProcess_SMT,0.9991019815172292,0.850418134470569,0.11721368742706977,0.16686565646282875,1500,2500
dCorg,GaussianProcess_SMT,0.9999615890488048,0.9690955836263504,3.949144696475334,6.3018076401544105,1500,2500
rdt,GaussianProcess_SMT,0.998658324163905,0.8143706703449027,0.04198038718888706,0.05937637873115072,1500,2500
