sortie,parametre_A,parametre_B,R2_A,R2_B,R2_additif,R2_interaction,R2_global,p_value_additif,p_value_global,n,n_A,n_B,n_cellules,df_model_global,df_resid_global
N_lixi,Date_Semis,Delta_PREPA_Semis,0.46315438456636526,0.21390976374504522,0.6819342337534977,0.011864786966113816,0.6937990207196115,0.0,0.0,9997,4,3,12,11.0,9985.0
N_lixi,Date_Semis,Date_Recolte,0.46315438456636526,0.05718300902038152,0.5219185024079276,0.10168488971772616,0.6236033921256537,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,has_prepa,Date_Semis,0.14515805534142975,0.46315438456636526,0.6143500986453718,0.003620457571322011,0.6179705562166938,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,prepa_1,Date_Semis,0.1177696389557336,0.46315438456636526,0.5828885151011319,0.002837912206002602,0.5857264273071345,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,prepa_2,Date_Semis,0.05217141941239104,0.46315438456636526,0.5176489381176881,0.0010923786137055913,0.5187413167313937,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,nb_prepa,Date_Semis,0.0520620379096507,0.46315438456636526,0.5176155704514946,0.0008563582709679718,0.5184719287224626,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,type_f3_1,Date_Semis,0.0003564873362766721,0.46315438456636526,0.4632482225897917,0.0011425960065833962,0.4643908185963751,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,type_f1_2,Date_Semis,0.00014488170873875404,0.46315438456636526,0.4633690663230511,0.0008898572498357016,0.4642589235728868,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,type_f1_1,Date_Semis,0.0004901462746615624,0.46315438456636526,0.4633326191238474,0.0006090614842457764,0.46394168060809315,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,type_f2_2,Date_Semis,3.398676678529993e-05,0.46315438456636526,0.46319663949675005,0.0007416825344630507,0.4639383220312131,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,Date_Semis,Dose_F1_1,0.46315438456636526,0.00025031679342259796,0.46321863556267384,0.0006507276688011432,0.463869363231475,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,nb_f1,Date_Semis,2.1765031634049576e-05,0.46315438456636526,0.4632327843556474,0.0005776841791819143,0.4638104685348293,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,type_f2_1,Date_Semis,0.00021716779359439063,0.46315438456636526,0.4631809542740537,0.0005561553424844323,0.46373710961653813,0.0,0.0,10000,4,4,16,15.0,9984.0
N_lixi,nb_f2,Date_Semis,4.08700289541485e-06,0.46315438456636526,0.4632006931358802,0.0005136429214053218,0.4637143360572855,0.0,0.0,10000,2,4,8,7.0,9992.0
N_lixi,type_f3_2,Date_Semis,0.00022230484195657235,0.46315438456636526,0.4633382871452152,0.0003614246729803927,0.4636997118181956,0.0,0.0,10000,4,4,16,15.0,9984.0
