sortie,metamodele,parametre,Shapley_variance,Shapley_normalise,variance_modele,n_permutations,n_mc
N_lixi,ExtraTrees,Date_Semis,0.0745212392036928,0.3873633764142373,0.19238070437511248,64,700
N_lixi,ExtraTrees,has_prepa,0.02423521312887533,0.12597528014878473,0.19238070437511248,64,700
N_lixi,ExtraTrees,Date_Recolte,0.02266477695014777,0.11781211127055122,0.19238070437511248,64,700
N_lixi,ExtraTrees,Delta_PREPA_Semis,0.017764513796907307,0.0923404135285276,0.19238070437511248,64,700
N_lixi,ExtraTrees,nb_f3,0.006344992712421814,0.03298144028025838,0.19238070437511248,64,700
N_lixi,ExtraTrees,Date_F1,0.004549773984306816,0.023649845752905983,0.19238070437511248,64,700
N_lixi,ExtraTrees,Dose_F2_2,0.004471850707365471,0.023244798494167364,0.19238070437511248,64,700
N_lixi,ExtraTrees,Dose_F1_1,0.003977023313899658,0.020672672588541312,0.19238070437511248,64,700
N_lixi,ExtraTrees,Dose_F1_2,0.0037874469140824337,0.01968724943795559,0.19238070437511248,64,700
N_lixi,ExtraTrees,prepa_1,0.003396293759263338,0.017654024972489406,0.19238070437511248,64,700
N_lixi,ExtraTrees,Dose_F2_1,0.00308618985388469,0.016042096653659712,0.19238070437511248,64,700
N_lixi,ExtraTrees,Dose_F3_2,0.002839012950726791,0.014757264560125306,0.19238070437511248,64,700
N_lixi,ExtraTrees,type_f2_1,0.0028292116554925577,0.014706317167734424,0.19238070437511248,64,700
N_lixi,ExtraTrees,type_f1_2,0.0028217513329562727,0.014667538213470183,0.19238070437511248,64,700
N_lixi,ExtraTrees,Dose_F3_1,0.002299163673452097,0.011951113709247499,0.19238070437511248,64,700
N_lixi,ExtraTrees,nb_f1,0.0022754639787065096,0.011827922067847867,0.19238070437511248,64,700
N_lixi,ExtraTrees,Date_F3,0.0019596244778633818,0.010186179971783544,0.19238070437511248,64,700
N_lixi,ExtraTrees,type_f3_2,0.0018876990760484339,0.00981230982691338,0.19238070437511248,64,700
N_lixi,ExtraTrees,type_f3_1,0.00147913128706701,0.007688563631532057,0.19238070437511248,64,700
N_lixi,ExtraTrees,n_ferti,0.0013316552624065203,0.00692197934679561,0.19238070437511248,64,700
N_lixi,ExtraTrees,nb_prepa,0.0012513875547805848,0.00650474567522413,0.19238070437511248,64,700
N_lixi,ExtraTrees,Date_F2,0.0011785612023261919,0.00612619236505227,0.19238070437511248,64,700
N_lixi,ExtraTrees,type_f2_2,0.0009862654587246326,0.0051266339934049115,0.19238070437511248,64,700
N_lixi,ExtraTrees,type_f1_1,0.0006828031432870389,0.003549228835110609,0.19238070437511248,64,700
N_lixi,ExtraTrees,prepa_2,0.00011005375995886172,0.0005720623610165913,0.19238070437511248,64,700
N_lixi,ExtraTrees,nb_f2,-0.00035039476353184134,-0.001821361267337009,0.19238070437511248,64,700
dCorg,XGBoost,Date_Recolte,588.0468349902097,0.4519442957977529,1301.14892578125,64,700
dCorg,XGBoost,Date_Semis,318.08884608689556,0.24446766990635233,1301.14892578125,64,700
dCorg,XGBoost,type_f2_2,42.25459871235794,0.03247483656568134,1301.14892578125,64,700
dCorg,XGBoost,nb_prepa,35.503366283040265,0.02728616654063865,1301.14892578125,64,700
dCorg,XGBoost,nb_f3,27.32095016783653,0.020997558101531064,1301.14892578125,64,700
