annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2019;213;270;beauce_5_sa_000;solnu;;0.0;0.0;18.13;0.0;0.0;35.0;53.12;0.01;0.0;0;0;0;-200.72;0.0;0.01;0.0;0.0
2019;271;365;beauce_5_sa_000;BTH;;0.33;0.0;15.03;0.0;36.02;53.33;31.76;0.03;0.0;0;21.2;0;-169.67;0.02;0.01;0.0;0.33
2019;213;302;beauce_5_sa_001;solnu;;0.0;0.0;22.74;0.0;0.0;35.0;57.73;0.01;0.0;0;0;0;-253.22;0.0;0.01;0.0;0.0
2019;303;365;beauce_5_sa_001;BTH;;0.34;1.16;10.41;0.0;5.26;57.88;149.3;0.08;0.0;0;3.09;0;-117.14;0.08;0.01;1.16;0.34
2019;213;301;beauce_5_sa_002;solnu;;0.0;0.0;22.62;0.0;0.0;35.0;57.61;0.01;0.0;0;0;0;-251.43;0.0;0.01;0.0;0.0
2019;302;365;beauce_5_sa_002;BTH;;0.26;0.0;10.55;0.0;5.47;57.74;62.37;0.06;0.0;0;3.22;0;-119.09;0.05;0.01;0.0;0.26
2019;213;311;beauce_5_sa_003;solnu;;0.0;0.0;24.47;0.0;0.0;35.0;59.45;0.03;0.0;0;0;0;-271.08;0.01;0.01;0.0;0.0
2019;312;365;beauce_5_sa_003;BTH;;0.29;0.32;8.7;0.0;3.51;59.67;88.56;0.06;0.0;0;2.07;0;-99.46;0.05;0.01;0.32;0.29
2019;213;307;beauce_5_sa_004;solnu;;0.0;0.0;23.76;0.0;0.0;35.0;58.74;0.02;0.0;0;0;0;-262.07;0.01;0.01;0.0;0.0
2019;308;365;beauce_5_sa_004;BTH;;0.27;0.0;9.42;0.0;4.32;58.88;63.51;0.05;0.0;0;2.54;0;-108.48;0.05;0.01;0.0;0.27
2019;213;268;beauce_5_sa_005;solnu;;0.0;0.0;17.73;0.0;0.0;35.0;52.72;0.01;0.0;0;0;0;-195.92;0.0;0.01;0.0;0.0
2019;269;365;beauce_5_sa_005;BTH;;0.33;0.0;15.44;0.0;39.49;52.91;28.32;0.03;0.0;0;23.24;0;-174.6;0.02;0.01;0.0;0.33
2019;213;292;beauce_5_sa_006;solnu;;0.0;0.0;21.07;0.0;0.0;35.0;56.06;0.01;0.0;0;0;0;-233.33;0.0;0.01;0.0;0.0
2019;293;365;beauce_5_sa_006;BTH;;0.26;0.0;12.1;0.0;10.9;56.24;56.94;0.06;0.0;0;6.41;0;-137.19;0.05;0.01;0.0;0.26
2019;213;273;beauce_5_sa_007;solnu;;0.0;0.0;18.68;0.0;0.0;35.0;53.67;0.01;0.0;0;0;0;-207.21;0.0;0.01;0.0;0.0
2019;274;365;beauce_5_sa_007;BTH;;0.29;0.0;14.5;0.0;33.72;53.83;34.13;0.04;0.0;0;19.84;0;-163.39;0.03;0.01;0.0;0.29
2019;213;306;beauce_5_sa_008;solnu;;0.0;0.0;23.39;0.0;0.0;35.0;58.37;0.02;0.0;0;0;0;-259.92;0.0;0.01;0.0;0.0
2019;307;365;beauce_5_sa_008;BTH;;0.29;0.9;9.78;0.0;4.5;58.73;130.58;0.07;0.0;0;2.65;0;-110.5;0.07;0.01;0.9;0.29
2019;213;260;beauce_5_sa_009;solnu;;0.0;0.0;15.93;0.0;0.0;35.0;50.92;0.01;0.0;0;0;0;-177.11;0.0;0.01;0.0;0.0
2019;261;365;beauce_5_sa_009;BTH;;0.33;0.0;17.38;0.0;51.15;51.12;16.81;0.01;0.0;0;30.1;0;-194.94;0.0;0.01;0.0;0.33
2019;213;298;beauce_5_sa_010;solnu;;0.0;0.0;22.12;0.0;0.0;35.0;57.11;0.01;0.0;0;0;0;-246.04;0.0;0.01;0.0;0.0
2019;299;365;beauce_5_sa_010;BTH;;0.25;0.0;11.04;0.0;6.68;57.24;61.15;0.06;0.0;0;3.93;0;-124.32;0.05;0.01;0.0;0.25
2019;213;257;beauce_5_sa_011;solnu;;0.0;0.0;15.52;0.0;0.0;35.0;50.51;0.01;0.0;0;0;0;-172.5;0.0;0.01;0.0;0.0
2019;258;365;beauce_5_sa_011;BTH;;0.32;0.0;17.6;0.0;51.46;50.66;16.32;0.01;0.0;0;30.28;0;-197.46;0.0;0.01;0.0;0.32
2019;213;270;beauce_5_sa_012;solnu;;0.0;0.0;18.13;0.0;0.0;35.0;53.12;0.01;0.0;0;0;0;-200.72;0.0;0.01;0.0;0.0
2019;271;365;beauce_5_sa_012;BTH;;0.34;0.0;15.05;0.0;37.3;53.33;30.5;0.03;0.0;0;21.95;0;-169.9;0.02;0.01;0.0;0.34
2019;213;316;beauce_5_sa_013;solnu;;0.0;0.0;25.56;0.0;0.0;35.0;60.53;0.03;0.0;0;0;0;-284.58;0.02;0.02;0.0;0.0
2019;317;365;beauce_5_sa_013;BTH;;0.27;0.0;7.61;0.0;2.32;60.88;65.51;0.04;0.0;0;1.37;0;-85.96;0.04;0.0;0.0;0.27
2019;213;303;beauce_5_sa_014;solnu;;0.0;0.0;22.89;0.0;0.0;35.0;57.88;0.01;0.0;0;0;0;-254.64;0.0;0.01;0.0;0.0
2019;304;365;beauce_5_sa_014;BTH;;0.25;0.0;10.26;0.0;4.92;58.05;62.91;0.06;0.0;0;2.9;0;-115.63;0.05;0.01;0.0;0.25
2019;213;284;beauce_5_sa_015;solnu;;0.0;0.0;20.02;0.0;0.0;35.0;55.01;0.01;0.0;0;0;0;-223.34;0.0;0.01;0.0;0.0
2019;285;365;beauce_5_sa_015;BTH;;0.27;0.0;13.16;0.0;21.42;55.1;46.42;0.05;0.0;0;12.61;0;-147.26;0.04;0.01;0.0;0.27
2019;213;307;beauce_5_sa_016;solnu;;0.0;0.0;23.76;0.0;0.0;35.0;58.74;0.02;0.0;0;0;0;-262.07;0.01;0.01;0.0;0.0
2019;308;365;beauce_5_sa_016;BTH;;0.27;0.0;9.42;0.0;4.32;58.88;63.51;0.05;0.0;0;2.54;0;-108.48;0.05;0.01;0.0;0.27
2019;213;297;beauce_5_sa_017;solnu;;0.0;0.0;21.98;0.0;0.0;35.0;56.97;0.01;0.0;0;0;0;-243.59;0.0;0.01;0.0;0.0
2019;298;365;beauce_5_sa_017;BTH;;0.26;0.0;11.2;0.0;7.14;57.12;60.7;0.06;0.0;0;4.2;0;-126.96;0.05;0.01;0.0;0.26
2019;213;296;beauce_5_sa_018;solnu;;0.0;0.0;21.72;0.0;0.0;35.0;56.7;0.01;0.0;0;0;0;-241.23;0.0;0.01;0.0;0.0
