annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2019;213;298;beauce_5_sa_000;solnu;;902.6;1.71;0.0;6.18;0.0;0.0;0.0;908.77;0.07
2019;299;365;beauce_5_sa_000;BTH;BTH;456.07;1.71;24.67;3.08;0.0;0.92;0.0;484.74;0.07
2019;213;305;beauce_5_sa_001;solnu;;948.08;1.71;0.0;6.48;0.0;0.0;0.0;954.56;0.07
2019;306;365;beauce_5_sa_001;BTH;BTH;410.56;1.71;25.1;2.78;0.0;0.91;0.0;439.35;0.07
2019;213;301;beauce_5_sa_002;solnu;;921.41;1.71;0.0;6.31;0.0;0.0;0.0;927.72;0.07
2019;302;365;beauce_5_sa_002;BTH;BTH;436.56;1.71;24.94;2.94;0.0;0.87;0.0;465.3;0.07
2019;213;277;beauce_5_sa_003;solnu;;782.96;1.71;0.0;5.37;0.0;0.0;0.0;788.33;0.07
2019;278;365;beauce_5_sa_003;BTH;BTH;575.96;1.71;15.44;3.89;0.0;0.98;0.0;596.27;0.07
2019;213;266;beauce_5_sa_004;solnu;;697.17;1.71;0.0;4.79;0.0;0.0;0.0;701.96;0.07
2019;267;365;beauce_5_sa_004;BTH;BTH;661.48;1.71;6.17;4.47;0.0;1.13;0.0;673.24;0.07
2019;213;295;beauce_5_sa_005;solnu;;879.11;1.71;0.0;6.02;0.0;0.0;0.0;885.13;0.07
2019;296;365;beauce_5_sa_005;BTH;BTH;479.58;1.71;24.21;3.24;0.0;0.93;0.0;507.96;0.07
2019;213;291;beauce_5_sa_006;solnu;;848.32;1.71;0.0;5.81;0.0;0.0;0.0;854.13;0.07
2019;292;365;beauce_5_sa_006;BTH;BTH;510.41;1.71;35.28;3.44;6.1;1.33;395.02;951.57;0.07
2019;213;282;beauce_5_sa_007;solnu;;808.19;1.71;0.0;5.51;0.0;0.0;0.0;813.71;0.07
2019;283;365;beauce_5_sa_007;BTH;BTH;550.77;1.71;28.13;3.75;4.68;1.16;302.91;891.41;0.07
2019;213;267;beauce_5_sa_008;solnu;;704.38;1.71;0.0;4.88;0.0;0.0;0.0;709.26;0.07
2019;268;365;beauce_5_sa_008;BTH;BTH;654.39;1.71;7.01;4.38;0.0;1.13;0.0;666.91;0.07
2019;213;275;beauce_5_sa_009;solnu;;773.87;1.71;0.0;5.3;0.0;0.0;0.0;779.16;0.07
2019;276;365;beauce_5_sa_009;BTH;BTH;585.04;1.71;16.99;3.96;4.64;1.0;300.53;912.15;0.07
2019;213;297;beauce_5_sa_010;solnu;;893.13;1.71;0.0;6.13;0.0;0.0;0.0;899.27;0.07
2019;298;365;beauce_5_sa_010;BTH;BTH;465.54;1.71;24.56;3.12;0.0;0.92;0.0;494.14;0.07
2019;213;298;beauce_5_sa_011;solnu;;902.6;1.71;0.0;6.18;0.0;0.0;0.0;908.77;0.07
2019;299;365;beauce_5_sa_011;BTH;BTH;456.07;1.71;24.67;3.08;0.0;0.92;0.0;484.74;0.07
2019;213;309;beauce_5_sa_012;solnu;;981.61;1.71;3.82;6.7;0.0;0.0;0.0;992.14;0.07
2019;310;365;beauce_5_sa_012;BTH;BTH;377.06;1.71;21.44;2.56;0.0;0.94;0.0;401.99;0.07
2019;213;277;beauce_5_sa_013;solnu;;782.96;1.71;0.0;5.37;0.0;0.0;0.0;788.33;0.07
2019;278;365;beauce_5_sa_013;BTH;BTH;575.96;1.71;30.49;3.89;4.92;1.54;318.79;935.59;0.07
2019;213;308;beauce_5_sa_014;solnu;;974.23;1.71;3.59;6.66;0.0;0.0;0.0;984.47;0.07
2019;309;365;beauce_5_sa_014;BTH;BTH;383.03;1.71;21.6;2.59;0.0;0.85;0.0;408.06;0.07
2019;213;260;beauce_5_sa_015;solnu;;649.39;1.71;0.0;4.44;0.0;0.0;0.0;653.83;0.07
2019;261;365;beauce_5_sa_015;BTH;BTH;714.57;1.71;9.5;4.85;3.16;1.15;204.85;938.08;0.07
2019;213;290;beauce_5_sa_016;solnu;;843.78;1.71;0.0;5.76;0.0;0.0;0.0;849.54;0.07
2019;291;365;beauce_5_sa_016;BTH;BTH;513.75;1.71;22.22;3.49;0.0;0.87;0.0;540.34;0.07
2019;213;265;beauce_5_sa_017;solnu;;688.17;1.71;0.0;4.74;0.0;0.0;0.0;692.9;0.07
2019;266;365;beauce_5_sa_017;BTH;BTH;670.32;1.71;5.41;4.52;0.0;1.13;0.0;681.38;0.07
2019;213;277;beauce_5_sa_018;solnu;;781.67;1.71;0.0;5.37;0.0;0.0;0.0;787.04;0.07
2019;278;365;beauce_5_sa_018;BTH;BTH;574.64;1.71;15.98;3.88;0.0;0.93;0.0;595.42;0.07
2019;213;282;beauce_5_sa_019;solnu;;808.19;1.71;0.0;5.51;0.0;0.0;0.0;813.7;0.07
2019;283;365;beauce_5_sa_019;BTH;BTH;550.59;1.71;18.44;3.75;0.0;0.95;0.0;573.73;0.07
2019;213;293;beauce_5_sa_020;solnu;;864.98;1.71;0.0;5.93;0.0;0.0;0.0;870.91;0.07
2019;294;365;beauce_5_sa_020;BTH;BTH;493.02;1.71;23.82;3.32;0.0;0.88;0.0;521.05;0.07
2019;213;288;beauce_5_sa_021;solnu;;835.2;1.71;0.0;5.71;0.0;0.0;0.0;840.9;0.07
2019;289;365;beauce_5_sa_021;BTH;BTH;521.98;1.71;25.93;3.54;4.27;0.87;276.31;832.89;0.07
2019;213;265;beauce_5_sa_022;solnu;;689.17;1.71;0.0;4.75;0.0;0.0;0.0;693.92;0.07
2019;266;365;beauce_5_sa_022;BTH;BTH;670.95;1.71;6.51;4.52;0.0;1.14;0.0;683.12;0.07
2019;213;277;beauce_5_sa_023;solnu;;782.96;1.71;0.0;5.37;0.0;0.0;0.0;788.33;0.07
2019;278;365;beauce_5_sa_023;BTH;BTH;575.96;1.71;15.44;3.89;0.0;0.98;0.0;596.27;0.07
2019;213;289;beauce_5_sa_024;solnu;;840.45;1.71;0.0;5.74;0.0;0.0;0.0;846.19;0.07
2019;290;365;beauce_5_sa_024;BTH;BTH;518.48;1.71;21.42;3.52;0.0;0.95;0.0;544.37;0.07
2019;213;279;beauce_5_sa_025;solnu;;793.76;1.71;0.0;5.42;0.0;0.0;0.0;799.18;0.07
2019;280;365;beauce_5_sa_025;BTH;BTH;562.78;1.71;16.82;3.82;0.0;0.91;0.0;584.33;0.07
2019;213;290;beauce_5_sa_026;solnu;;843.71;1.71;0.0;5.76;0.0;0.0;0.0;849.48;0.07
2019;291;365;beauce_5_sa_026;BTH;BTH;513.92;1.71;22.22;3.49;0.0;0.89;0.0;540.53;0.07
2019;213;312;beauce_5_sa_027;solnu;;1004.94;1.71;5.1;6.89;0.0;0.0;0.0;1016.94;0.07
2019;313;365;beauce_5_sa_027;BTH;BTH;353.71;1.71;20.31;2.37;0.0;0.93;0.0;377.32;0.07
2019;213;314;beauce_5_sa_028;solnu;;1024.17;1.71;7.14;7.03;0.0;0.0;0.0;1038.34;0.07
2019;315;365;beauce_5_sa_028;BTH;BTH;334.51;1.71;18.38;2.23;0.0;0.95;0.0;356.06;0.07
2019;213;270;beauce_5_sa_029;solnu;;735.97;1.71;0.0;5.06;0.0;0.0;0.0;741.03;0.07
2019;271;365;beauce_5_sa_029;BTH;BTH;622.95;1.71;10.29;4.2;0.0;1.17;0.0;638.61;0.07
2019;213;260;beauce_5_sa_030;solnu;;649.39;1.71;0.0;4.44;0.0;0.0;0.0;653.84;0.07
2019;261;365;beauce_5_sa_030;BTH;BTH;714.77;1.71;0.69;4.85;0.0;1.15;0.0;721.46;0.07
2019;213;287;beauce_5_sa_031;solnu;;832.03;1.71;0.0;5.68;0.0;0.0;0.0;837.71;0.07
2019;288;365;beauce_5_sa_031;BTH;BTH;525.23;1.71;30.76;3.57;4.19;1.13;271.15;836.03;0.07
2019;213;295;beauce_5_sa_032;solnu;;882.39;1.71;0.0;6.04;0.0;0.0;0.0;888.43;0.07
2019;296;365;beauce_5_sa_032;BTH;BTH;480.31;1.71;24.26;3.24;0.0;1.05;0.0;508.87;0.07
2019;213;313;beauce_5_sa_033;solnu;;1014.2;1.71;5.25;6.96;0.0;0.0;0.0;1026.42;0.07
2019;314;365;beauce_5_sa_033;BTH;BTH;344.47;1.71;20.23;2.3;0.0;0.94;0.0;367.94;0.07
2019;213;284;beauce_5_sa_034;solnu;;818.47;1.71;0.0;5.58;0.0;0.0;0.0;824.06;0.07
2019;285;365;beauce_5_sa_034;BTH;BTH;539.17;1.71;19.0;3.67;0.0;0.89;0.0;562.73;0.07
2019;213;271;beauce_5_sa_035;solnu;;744.45;1.71;0.0;5.12;0.0;0.0;0.0;749.57;0.07
2019;272;365;beauce_5_sa_035;BTH;BTH;613.1;1.71;11.94;4.13;0.0;1.04;0.0;630.21;0.07
2019;213;316;beauce_5_sa_036;solnu;;1043.48;1.71;7.67;7.13;0.0;0.0;0.0;1058.28;0.07
2019;317;365;beauce_5_sa_036;BTH;BTH;315.2;1.71;17.93;2.13;0.0;0.95;0.0;336.2;0.07
2019;213;269;beauce_5_sa_037;solnu;;728.16;1.71;0.0;5.0;0.0;0.0;0.0;733.16;0.07
2019;270;365;beauce_5_sa_037;BTH;BTH;630.75;1.71;8.73;4.26;0.0;1.15;0.0;644.88;0.07
2019;213;300;beauce_5_sa_038;solnu;;914.26;1.71;0.0;6.27;0.0;0.0;0.0;920.52;0.07
2019;301;365;beauce_5_sa_038;BTH;BTH;444.41;1.71;28.5;2.99;1.59;0.98;103.22;581.7;0.07
2019;213;267;beauce_5_sa_039;solnu;;704.38;1.71;0.0;4.88;0.0;0.0;0.0;709.26;0.07
2019;268;365;beauce_5_sa_039;BTH;BTH;654.39;1.71;7.01;4.38;0.0;1.13;0.0;666.91;0.07
2019;213;307;beauce_5_sa_040;solnu;;960.93;1.71;3.3;6.63;0.0;0.0;0.0;970.86;0.07
2019;308;365;beauce_5_sa_040;BTH;BTH;397.72;1.71;21.9;2.63;0.0;0.93;0.0;423.18;0.07
2019;213;290;beauce_5_sa_041;solnu;;843.78;1.71;0.0;5.76;0.0;0.0;0.0;849.54;0.07
2019;291;365;beauce_5_sa_041;BTH;BTH;513.75;1.71;24.15;3.49;0.93;0.88;60.34;603.55;0.07
