sortie,order,variables,global_var_pct,intrinsic_var_pct,p_A,trace,adj_trace,label
dCorg,1,Date_Recolte,62.13401726510892,50.440274437996656,1.0,0.03369326952191376,0.03369326918498107,Date_Recolte
dCorg,1,n_ferti,8.722887122848933,7.081222810539868,1.0,0.004730139781327476,0.004730139734026079,n_ferti
dCorg,1,Date_Semis,6.362761957315582,5.165277788836371,1.0,0.0034503201783477604,0.0034503201438445593,Date_Semis
dCorg,1,has_prepa,3.408881246101794,2.7673231693079248,1.0,0.0018485261318778763,0.0018485261133926153,has_prepa
dCorg,1,nb_prepa,2.894834495530607,9.40008378364751,0.5,0.001569775191954587,0.006279100516654328,nb_prepa
dCorg,2,n_ferti & Date_Recolte,1.9326370313436214,1.568910985331515,1.0,0.0010480066033273854,0.0010480065928473196,n_ferti & Date_Recolte
dCorg,1,Dose_F1,1.897466025414782,2.7530799046256127,0.748,0.0010289345034652272,0.001839011848128179,Dose_F1
dCorg,2,Date_Semis & Date_Recolte,1.4071055211789434,1.142285526922493,1.0,0.0007630278494398581,0.0007630278418095797,Date_Semis & Date_Recolte
dCorg,1,Date_F1,1.159752763979217,1.6827136750167813,0.748,0.0006288964431321112,0.0011240249075821836,Date_F1
dCorg,3,has_prepa & nb_prepa & Date_Recolte,0.8256587317278741,2.681072533481595,0.5,0.0004477280466597234,0.001790912115002409,"has_prepa & nb_prepa &
Date_Recolte"
dCorg,1,Delta_PREPA_Semis,0.8140273548442458,2.643303218035723,0.5,0.00044142072687740645,0.0017656828368823123,Delta_PREPA_Semis
dCorg,2,has_prepa & Date_Recolte,0.7432636607397214,0.6033799950120748,1.0,0.00040304786249851057,0.00040304785846803203,has_prepa & Date_Recolte
