sortie,R2_train,Q2_test,MAE_test,RMSE_test,n_train,n_test
N_lixi,0.7153468920008123,0.6925397878424142,0.3407048641011409,0.4305465166006911,7500,2500
dCorg,0.9548414868879159,0.9489464697243107,14.05967873013839,20.972205180055255,7500,2500
rdt,0.8782955219366304,0.8782182985067988,0.08687232854013704,0.12180527394322173,7500,2500
