point_idx,run,parcelle,n_ferti,nb_prepa,Date_Semis,Delta_PREPA_Semis,Profondeur_Semis,Profondeur_Prepa_1,Profondeur_Prepa_2,Date_F1,Date_F2,Date_F3,Date_Recolte,Dose_F1,Dose_F2,Dose_F3,N_lixi,dCorg,rdt
328,smt_003,beauce_5_sa_028,3,1,45.24207040153887,-14.32982731456881,2.458253057940248,12.102892807838712,13.0,119.25201914026194,211.8635694205941,308.9519407280793,367.80830423630175,20.09019542565922,44.652186111106296,30.999393799210313,9.347,-273.71500000000003,8.642222222222223
329,smt_003,beauce_5_sa_029,3,1,60.538092792965315,-7.353818826321714,3.868461516108317,8.595966686736853,13.0,130.61390511734444,225.3714643564755,307.4464738925291,372.9633095653471,35.3531235482787,4.0312350825122145,5.143773355743927,7.178,-393.44,7.455555555555555
330,smt_003,beauce_5_sa_030,0,0,101.87095188595724,-24.0,3.021093430197511,13.0,13.0,158.0,237.5,294.0,363.7541570941561,10.0,10.0,10.0,4.258,-440.79200000000003,5.181111111111111
331,smt_003,beauce_5_sa_031,0,2,103.8222101397051,-4.879894645933781,3.1049909788992247,19.220350833098554,12.046196582827562,158.0,237.5,294.0,333.4789319010527,10.0,10.0,10.0,5.0120000000000005,-437.49800000000005,4.974444444444445
332,smt_003,beauce_5_sa_032,0,1,73.59975569911288,-31.086811853685855,3.295048733287123,5.806264164833085,13.0,158.0,237.5,294.0,324.4826113846888,10.0,10.0,10.0,2.794,-450.76300000000003,5.39
333,smt_003,beauce_5_sa_033,2,1,52.72104221687864,-4.725070234706351,1.3096964544116725,24.252553637980277,13.0,189.95143588850053,262.2470720011096,294.0,343.74261183659127,46.64942530213864,16.064192671617786,10.0,3.105,-290.337,8.072222222222223
334,smt_003,beauce_5_sa_034,0,2,74.10464424406584,-27.133165840000625,3.7010552655769926,1.4802957093684947,24.048684999919004,158.0,237.5,294.0,340.64597902010826,10.0,10.0,10.0,1.8010000000000002,-426.918,5.392222222222222
335,smt_003,beauce_5_sa_035,2,1,46.466122388011435,-22.457158439606825,1.7117960174088769,7.74815229971845,13.0,150.76043614157916,254.65253367573385,294.0,358.22523671932004,2.837933359233689,77.21890709433744,10.0,11.523,-345.162,8.165555555555557
336,smt_003,beauce_5_sa_036,1,2,58.14494694114806,-7.820312279548375,1.310913854624668,10.768635372100942,18.245958636160985,171.43702557702198,237.5,294.0,349.3013619951467,39.038601857713246,10.0,10.0,2.8369999999999997,-346.731,7.285555555555555
337,smt_003,beauce_5_sa_037,2,2,97.30517921670494,-25.213289313861065,3.3263691766644374,20.344493812433488,4.871743348939134,128.81357338819214,258.7790378713917,294.0,334.97085557030323,22.3866946461746,24.92522643618879,10.0,4.505999999999999,-342.46799999999996,7.526666666666666
338,smt_003,beauce_5_sa_038,0,0,85.79828132062241,-24.0,3.3925559302861377,13.0,13.0,158.0,237.5,294.0,347.9562769671997,10.0,10.0,10.0,3.507,-460.162,5.346666666666667
339,smt_003,beauce_5_sa_039,1,0,91.84539019965804,-24.0,3.7524540930665657,13.0,13.0,191.61752333386715,237.5,294.0,378.89801490947855,1.6780876457608085,10.0,10.0,4.814,-496.121,5.585555555555556
340,smt_003,beauce_5_sa_040,1,0,64.90489809930793,-24.0,3.819968612423981,13.0,13.0,152.78900305913928,237.5,294.0,333.3021995311223,11.009367919023514,10.0,10.0,3.172,-458.346,6.161111111111111
