sortie,order,variables,global_var_pct,intrinsic_var_pct,p_A,trace,adj_trace
N_lixi,1,Dose_F3,5.494116025267985,23.09611680585806,0.24066666666666667,0.008060441184023773,0.1391639838004915
N_lixi,1,Dose_F2,15.587474134725943,15.427141981194346,0.496,0.02286845015514974,0.09295512985171063
N_lixi,2,n_ferti & Dose_F3,2.2007494168762944,9.25149111500965,0.24066666666666667,0.003228728908148738,0.05574419156613553
N_lixi,1,Date_F2,7.467596715203944,7.3907853054331465,0.496,0.01095574316816044,0.04453264309164449
N_lixi,1,n_ferti,19.767409178904813,4.813077437289047,1.0,0.02900085078551324,0.029000850495504736
N_lixi,1,Date_F1,10.333351624289502,4.496878003261353,0.748,0.015160104486027738,0.0270956136418535
N_lixi,1,Dose_F1,8.90820641954645,3.8766819279049147,0.748,0.013069267843937606,0.02335866698066669
N_lixi,3,n_ferti & Dose_F2 & Dose_F3,0.9072994224574186,3.8140973620850995,0.24066666666666667,0.0013311028739441382,0.02298156819920831
N_lixi,2,n_ferti & Date_F1,4.664974327638391,2.0301080619792016,0.748,0.006844003843380065,0.012232269512027383
N_lixi,2,Dose_F2 & Dose_F3,0.46588678422346114,1.9584907812728258,0.24066666666666667,0.0006835044992454476,0.011800744759367255
N_lixi,3,n_ferti & Date_F1 & Dose_F3,0.4619032154934641,1.9417446899509396,0.24066666666666667,0.0006776601884768028,0.01169984239551839
N_lixi,2,n_ferti & Dose_F2,1.8466583032940118,1.8276636477106205,0.496,0.0027092403167740674,0.011012455314489767
N_lixi,3,n_ferti & Date_F2 & Dose_F3,0.40521272930497976,1.7034297208515656,0.24066666666666667,0.0005944893330535774,0.010263892760437395
N_lixi,3,n_ferti & Date_F1 & Dose_F2,1.6135035621838023,1.5969071272117303,0.496,0.0023671779961292345,0.009622048565576016
N_lixi,3,n_ferti & Dose_F1 & Dose_F3,0.35178497956704013,1.4788306146538734,0.24066666666666667,0.0005161052522702819,0.008910587066703947
N_lixi,2,n_ferti & Dose_F1,3.2074781064924296,1.395833439861282,0.748,0.004705704886377078,0.008410493584089018
N_lixi,2,Date_F1 & Dose_F1,2.7367015829149066,1.190960454764041,0.748,0.004015026629554005,0.007176046208415923
N_lixi,3,n_ferti & Dose_F1 & Dose_F2,1.1923437158156591,1.1800793146654625,0.496,0.0017492925792377478,0.007110482684593364
N_lixi,3,n_ferti & Date_F1 & Dose_F1,2.3738638470942575,1.0330603762329171,0.748,0.0034827058311806135,0.006224630688849957
N_lixi,3,Date_F1 & Dose_F1 & Dose_F2,1.0418637189580984,1.0311471492109288,0.496,0.0015285227304642523,0.006213102677603187
N_lixi,3,Date_F1 & Dose_F1 & Dose_F3,0.19781613892943012,0.8315777515046404,0.24066666666666667,0.0002902169058240034,0.005010611684726519
N_lixi,3,n_ferti & Date_F1 & Date_F2,0.8010607746571976,0.7928210946423101,0.496,0.0011752396981164802,0.004777086247827856
N_lixi,3,Date_F1 & Dose_F2 & Dose_F3,0.18550927454095645,0.779842262824971,0.24066666666666667,0.00027216145229757194,0.004698883234050261
N_lixi,3,Date_F2 & Dose_F2 & Dose_F3,0.1839956631888478,0.7734793566857129,0.24066666666666667,0.0002699408265912651,0.004660544002640452
N_lixi,2,Dose_F1 & Dose_F3,0.17966061842709655,0.7552557335012814,0.24066666666666667,0.00026358086382901127,0.004550738877261919
N_lixi,2,n_ferti & Date_F2,0.7622045388865355,0.7543645326036071,0.496,0.0011182335479693862,0.004545369010615961
N_lixi,2,Date_F2 & Dose_F3,0.1780554608338406,0.7485079860756451,0.24066666666666667,0.0002612259302396906,0.00451008081247447
N_lixi,2,Date_F1 & Dose_F3,0.16256819443560822,0.6834027512950291,0.24066666666666667,0.00023850449528452488,0.004117793922236767
N_lixi,3,n_ferti & Date_F2 & Dose_F2,0.6492406253085694,0.6425625614531802,0.496,0.0009525037058756477,0.0038717143078438178
N_lixi,3,n_ferti & Date_F2 & Dose_F1,0.5931271406910633,0.5870262579589997,0.496,0.0008701793719318686,0.0035370843219994855
N_lixi,2,Date_F1 & Dose_F2,0.5777870502226828,0.5718439550653673,0.496,0.0008476738594146018,0.0034456044523874766
N_lixi,3,Dose_F1 & Dose_F2 & Dose_F3,0.13411208429994045,0.5637792048480489,0.24066666666666667,0.00019675641406094628,0.0033970108823933535
N_lixi,3,Date_F1 & Date_F2 & Dose_F1,0.5246026215747367,0.5192065793848083,0.496,0.0007696467560459997,0.0031284417467220926
