sortie,variable,importance_moyenne,importance_ecart_type,theta,conditionnelle,categorielle,frequence_active
N_lixi,n_ferti,0.5677822775759842,0.0029764541975881775,2.838911387879921,False,True,1.0
N_lixi,Date_F1,0.3643626350517498,0.005394738955635367,1.821813175258749,True,False,0.7463636363636363
N_lixi,Dose_F2,0.18363817574892888,0.0033854862143537596,0.9181908787446444,True,False,0.5018181818181818
N_lixi,Dose_F1,0.1686573482504234,0.002669818805738051,0.843286741252117,True,False,0.7463636363636363
N_lixi,Dose_F3,0.08626502919650428,0.0014649071124192298,0.43132514598252136,True,False,0.2546464646464646
N_lixi,Date_F2,0.07058515070712026,0.0016569794957709012,0.3529257535356013,True,False,0.5018181818181818
N_lixi,Date_Semis,0.03734186818212215,0.0004601620427157686,0.18670934091061075,False,False,1.0
N_lixi,Date_Recolte,0.005707647182205478,9.985900921116684e-05,0.028538235911027388,False,False,1.0
N_lixi,Delta_PREPA_Semis,0.003092205910789114,0.0001350710901443012,0.0,True,False,0.49737373737373736
N_lixi,Date_F3,0.0009114325777528576,4.674590296329725e-05,0.0,True,False,0.2546464646464646
N_lixi,nb_prepa,0.0008739024714935262,3.777196764380661e-05,0.0,True,True,0.49737373737373736
N_lixi,has_prepa,0.0007839473454098967,5.0752950047248294e-05,0.0,False,True,1.0
N_lixi,Profondeur_Semis,0.0002580427824099396,1.6242251168111044e-05,0.0,False,False,1.0
N_lixi,Profondeur_Prepa_1,0.0001370934868151319,1.8666487941998025e-05,0.0,True,False,0.49737373737373736
N_lixi,Profondeur_Prepa_2,1.9898176906951726e-06,3.812570725156359e-07,0.0,True,False,0.2506060606060606
dCorg,Date_Recolte,1.0025551694644235,0.011058717667525107,5.012775847322118,False,False,1.0
dCorg,Date_Semis,0.26693820124344736,0.0037518823130003117,1.3346910062172368,False,False,1.0
dCorg,n_ferti,0.2630853136237496,0.0037693251467837267,1.315426568118748,False,True,1.0
dCorg,nb_prepa,0.06625490507875798,0.0016539115298113045,0.3312745253937899,True,True,0.49737373737373736
dCorg,has_prepa,0.05759228199514029,0.001246898688441588,0.28796140997570147,False,True,1.0
dCorg,Profondeur_Semis,0.034849528630959435,0.0009193308563423176,0.17424764315479718,False,False,1.0
dCorg,Dose_F1,0.03425236168352637,0.000629860686651957,0.17126180841763183,True,False,0.7463636363636363
dCorg,Date_F1,0.019469116529454954,0.00041394227597894243,0.09734558264727478,True,False,0.7463636363636363
dCorg,Delta_PREPA_Semis,0.01426916307580578,0.0004805254362826579,0.0713458153790289,True,False,0.49737373737373736
dCorg,Dose_F2,0.00952803839497085,0.00019715297683358133,0.04764019197485425,True,False,0.5018181818181818
dCorg,Profondeur_Prepa_1,0.0013110948514117981,6.16577641692234e-05,0.0,True,False,0.49737373737373736
dCorg,Date_F2,0.0011102893034677375,6.119330363360365e-05,0.0,True,False,0.5018181818181818
dCorg,Dose_F3,0.000976974444974965,6.723482613090065e-05,0.0,True,False,0.2546464646464646
dCorg,Profondeur_Prepa_2,0.0009112023752456899,5.1044180002280694e-05,0.0,True,False,0.2506060606060606
dCorg,Date_F3,0.0004193626786059612,3.116784308572127e-05,0.0,True,False,0.2546464646464646
rdt,n_ferti,1.9995402376703062,0.020934046588949165,9.997701188351531,False,True,1.0
rdt,Dose_F1,0.14130482604916278,0.003140414013739922,0.7065241302458138,True,False,0.7463636363636363
rdt,Date_F1,0.0773143882671443,0.0011336657210825355,0.38657194133572154,True,False,0.7463636363636363
rdt,Date_Recolte,0.027751524159748554,0.0005949424958637274,0.13875762079874276,False,False,1.0
rdt,Dose_F2,0.01599561963252234,0.0003752846386977563,0.0799780981626117,True,False,0.5018181818181818
rdt,Date_Semis,0.010898912973115437,0.0003253953131377251,0.05449456486557719,False,False,1.0
rdt,Date_F2,0.00485091263639611,0.00022609389750257225,0.0,True,False,0.5018181818181818
rdt,Delta_PREPA_Semis,0.004235049105060606,9.696667259391694e-05,0.0,True,False,0.49737373737373736
rdt,Dose_F3,0.0019931574976626123,6.833784808832036e-05,0.0,True,False,0.2546464646464646
rdt,Profondeur_Semis,0.0015163225789164513,6.54272509804281e-05,0.0,False,False,1.0
rdt,has_prepa,0.00014969676985964185,8.576273861214528e-06,0.0,False,True,1.0
rdt,nb_prepa,0.00012616664978641888,7.172530145662383e-06,0.0,True,True,0.49737373737373736
rdt,Profondeur_Prepa_1,2.666920210968593e-05,1.6173502900832348e-06,0.0,True,False,0.49737373737373736
rdt,Profondeur_Prepa_2,2.369335584181398e-05,1.4424695575499041e-06,0.0,True,False,0.2506060606060606
rdt,Date_F3,1.1763821325749823e-05,1.2407643597001937e-06,0.0,True,False,0.2546464646464646
