annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2019;213;305;beauce_5_sa_000;solnu;;0.0;0.0;23.18;0.0;0.0;35.0;58.17;0.01;0.0;0;0;0;-258.18;0.0;0.01;0.0;0.0
2019;306;365;beauce_5_sa_000;BTH;;0.24;0.0;9.96;0.0;4.79;58.35;63.03;0.06;0.0;0;2.82;0;-111.97;0.05;0.01;0.0;0.24
2019;213;262;beauce_5_sa_001;solnu;;0.0;0.0;16.32;0.0;0.0;35.0;51.31;0.01;0.0;0;0;0;-180.61;0.0;0.01;0.0;0.0
2019;263;365;beauce_5_sa_001;BTH;;0.32;0.0;16.84;0.0;47.74;51.61;20.07;0.02;0.0;0;28.09;0;-189.74;0.01;0.01;0.0;0.32
2019;213;276;beauce_5_sa_002;solnu;;0.0;0.0;19.1;0.0;0.0;35.0;54.09;0.01;0.0;0;0;0;-213.08;0.0;0.01;0.0;0.0
2019;277;365;beauce_5_sa_002;BTH;;0.31;0.0;14.18;0.0;28.61;54.29;39.31;0.04;0.0;0;16.83;0;-158.66;0.03;0.01;0.0;0.31
2019;213;285;beauce_5_sa_003;solnu;;0.0;0.0;20.11;0.0;0.0;35.0;55.1;0.01;0.0;0;0;0;-224.2;0.0;0.01;0.0;0.0
2019;286;365;beauce_5_sa_003;BTH;;0.25;0.0;13.05;0.0;19.89;55.26;47.95;0.05;0.0;0;11.7;0;-146.12;0.04;0.01;0.0;0.25
2019;213;293;beauce_5_sa_004;solnu;;0.0;0.0;21.25;0.0;0.0;35.0;56.24;0.01;0.0;0;0;0;-235.98;0.0;0.01;0.0;0.0
2019;294;365;beauce_5_sa_004;BTH;;0.27;0.0;11.92;0.0;9.37;56.39;58.47;0.06;0.0;0;5.51;0;-134.57;0.05;0.01;0.0;0.27
2019;213;303;beauce_5_sa_005;solnu;;0.0;0.0;22.91;0.0;0.0;35.0;57.9;0.01;0.0;0;0;0;-254.84;0.0;0.01;0.0;0.0
2019;304;365;beauce_5_sa_005;BTH;;0.26;0.0;10.26;0.0;4.92;58.07;62.92;0.06;0.0;0;2.9;0;-115.65;0.05;0.01;0.0;0.26
2019;213;307;beauce_5_sa_006;solnu;;0.0;0.0;23.75;0.0;0.0;35.0;58.73;0.02;0.0;0;0;0;-262.04;0.01;0.01;0.0;0.0
2019;308;365;beauce_5_sa_006;BTH;;0.27;0.08;9.42;0.0;4.32;58.88;69.23;0.06;0.0;0;2.54;0;-108.47;0.05;0.01;0.08;0.27
2019;213;296;beauce_5_sa_007;solnu;;0.0;0.0;21.75;0.0;0.0;35.0;56.73;0.01;0.0;0;0;0;-241.55;0.0;0.01;0.0;0.0
2019;297;365;beauce_5_sa_007;BTH;;0.27;0.0;11.43;0.0;7.6;56.97;60.24;0.06;0.0;0;4.47;0;-129.0;0.05;0.01;0.0;0.27
2019;213;304;beauce_5_sa_008;solnu;;0.0;0.0;23.09;0.0;0.0;35.0;58.07;0.01;0.0;0;0;0;-256.64;0.0;0.01;0.0;0.0
