ESPECE;maisTP;maisP;maisDP;maisDT;maisT;maisTT;maisEnsilTP;maisEnsilP;maisEnsilDP;maisEnsilDT;maisEnsilT;maisEnsilTT;maisSemence;tournesol;BTH;BDH;orgeh;orgep;triticaleh;poish;poisp;feveroleh;colza;sorgho;soja;betterave;pdt;chanvre;gel;ciColza;ciSorghoEnsil;ciPois;ciFeverole;ciTriticaleEnsil;ciOrgehEnsil;ciMoutardeBlanche;ciVesce;mon_espece
Pse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3
beta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.952
SR_ratio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.6
RootC_fixed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.167
CN_ratio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60
adil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.5
bdil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37
Type_Nacq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cst
a_Ndemand_ci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
b_Ndemand_ci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
coef_500Mat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
Dde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
N_grain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
especeRepousse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA
BESOIN_Ntot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NA
PROF_MAX_RACINE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200
date_maj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20/05/26
source_projet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JV
indice_fiabilite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5-
adilmax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5
tgelLev10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tgelLev90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tgelJuv10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tgelJuv90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tgelVeg10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tgelVeg90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tgelFlo10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tgelFlo90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
