annee;jourDebut;jourFin;parcelle;couvert;itk;evaporation[mm];transpiration[mm];percolation[mm];capilarite[mm];ruissellement[mm];Hr_debut[mm];Hm_debut[mm];Hr_fin[mm];Hm_fin[mm];Hr_1erJanv[mm];Hm_1erJanv[mm];satisfactionHydrique[%];pluie[mm];irrigation[mm];sommeDegresJourCulture[°C]
2019;213;266;beauce_5_sa_000;solnu;;87.24;0.0;0.0;0.01;0.0;45.53;248.32;23.37;226.16;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;267;365;beauce_5_sa_000;orgeh;orgeH_tousSols_nonirr_organique;49.39;1.35;15.03;0.64;0.0;21.36;224.15;69.05;310.4;-1.0;-1.0;84.1;150.83;0.0;852.98
2019;213;273;beauce_5_sa_001;solnu;;95.87;0.0;0.0;0.01;0.0;45.53;248.32;14.74;217.53;-1.0;-1.0;0.0;69.21;0.0;0.0
2019;274;365;beauce_5_sa_001;orgeh;orgeH_tousSols_nonirr_organique;42.9;0.52;13.73;0.79;0.0;18.56;221.35;56.91;310.4;-1.0;-1.0;86.06;146.69;0.0;736.61
2019;213;256;beauce_5_sa_002;solnu;;77.57;0.0;0.0;0.01;0.0;45.53;248.32;14.62;217.4;-1.0;-1.0;0.0;46.66;0.0;0.0
2019;257;365;beauce_5_sa_002;orgeh;orgeH_tousSols_nonirr_organique;54.13;4.09;17.21;0.33;0.0;13.55;216.34;87.55;310.4;-1.0;-1.0;82.02;169.25;0.0;1020.05
2019;213;274;beauce_5_sa_003;solnu;;95.96;0.0;0.0;0.01;0.0;45.53;248.32;18.78;221.57;-1.0;-1.0;0.0;69.21;0.0;0.0
2019;275;365;beauce_5_sa_003;orgeh;orgeH_tousSols_nonirr_organique;42.7;0.47;13.88;0.79;0.0;17.9;220.68;56.91;310.4;-1.0;-1.0;87.38;146.69;0.0;727.04
2019;213;307;beauce_5_sa_004;solnu;;116.94;0.0;0.0;0.01;0.0;45.53;248.32;56.91;268.9;-1.0;-1.0;0.0;139.25;0.0;0.0
2019;308;365;beauce_5_sa_004;orgeh;orgeH_tousSols_nonirr_organique;24.03;0.0;12.03;0.45;0.0;56.91;270.02;56.91;310.4;-1.0;-1.0;98.28;76.66;0.0;374.6
2019;213;308;beauce_5_sa_005;solnu;;117.41;0.0;0.0;0.01;0.0;45.53;248.32;56.91;270.16;-1.0;-1.0;0.0;139.25;0.0;0.0
2019;309;365;beauce_5_sa_005;orgeh;orgeH_tousSols_nonirr_organique;23.43;0.0;12.17;0.43;0.0;56.48;269.73;56.91;310.4;-1.0;-1.0;98.25;76.66;0.0;366.39
2019;213;304;beauce_5_sa_006;solnu;;114.81;0.0;0.0;0.01;0.0;45.53;248.32;48.91;251.7;-1.0;-1.0;0.0;118.19;0.0;0.0
2019;305;365;beauce_5_sa_006;orgeh;orgeH_tousSols_nonirr_organique;26.25;0.0;11.95;0.61;0.0;48.14;250.92;56.91;310.4;-1.0;-1.0;98.35;97.72;0.0;398.57
2019;213;291;beauce_5_sa_007;solnu;;105.97;0.0;0.0;0.01;0.0;45.53;248.32;25.99;228.77;-1.0;-1.0;0.0;95.68;0.0;0.0
2019;292;365;beauce_5_sa_007;orgeh;orgeH_tousSols_nonirr_organique;34.95;0.05;12.05;0.86;0.0;34.95;237.73;56.91;310.4;-1.0;-1.0;93.77;120.22;0.0;518.09
2019;213;266;beauce_5_sa_008;solnu;;87.36;0.0;0.0;0.01;0.0;45.53;248.32;23.24;226.03;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;267;365;beauce_5_sa_008;orgeh;orgeH_tousSols_nonirr_organique;49.57;1.31;14.77;0.65;0.0;21.23;224.01;69.05;310.4;-1.0;-1.0;83.03;150.83;0.0;852.98
2019;213;308;beauce_5_sa_009;solnu;;117.54;0.0;0.0;0.01;0.0;45.53;248.32;56.91;270.02;-1.0;-1.0;0.0;139.25;0.0;0.0
2019;309;365;beauce_5_sa_009;orgeh;orgeH_tousSols_nonirr_organique;23.43;0.0;12.03;0.43;0.0;56.48;269.59;56.91;310.4;-1.0;-1.0;98.25;76.66;0.0;366.39
2019;213;290;beauce_5_sa_010;solnu;;105.14;0.0;0.0;0.01;0.0;45.53;248.32;18.42;221.21;-1.0;-1.0;0.0;86.42;0.0;0.0
2019;291;365;beauce_5_sa_010;orgeh;orgeH_tousSols_nonirr_organique;35.28;0.06;12.54;0.83;0.0;26.32;229.1;56.91;310.4;-1.0;-1.0;93.3;129.48;0.0;529.57
2019;213;256;beauce_5_sa_011;solnu;;78.37;0.0;0.0;0.01;0.0;45.53;248.32;13.82;216.61;-1.0;-1.0;0.0;46.66;0.0;0.0
2019;257;365;beauce_5_sa_011;orgeh;orgeH_tousSols_nonirr_organique;53.98;4.13;16.54;0.39;0.0;12.78;215.57;87.55;310.4;-1.0;-1.0;81.91;169.25;0.0;1020.05
2019;213;302;beauce_5_sa_012;solnu;;113.34;0.0;0.0;0.01;0.0;45.53;248.32;45.98;248.77;-1.0;-1.0;0.0;117.49;0.0;0.0
2019;303;365;beauce_5_sa_012;orgeh;orgeH_tousSols_nonirr_organique;27.53;0.0;12.13;0.73;0.0;49.15;251.94;56.91;310.4;-1.0;-1.0;98.38;98.41;0.0;412.94
2019;213;311;beauce_5_sa_013;solnu;;118.96;0.0;0.0;0.04;0.0;45.53;248.32;56.91;271.92;-1.0;-1.0;0.0;142.56;0.0;0.0
2019;312;365;beauce_5_sa_013;orgeh;orgeH_tousSols_nonirr_organique;21.89;0.0;12.16;0.38;0.0;55.92;270.93;56.91;310.4;-1.0;-1.0;98.15;73.35;0.0;334.65
2019;213;262;beauce_5_sa_014;solnu;;82.68;0.0;0.0;0.01;0.0;45.53;248.32;25.19;227.97;-1.0;-1.0;0.0;62.33;0.0;0.0
2019;263;365;beauce_5_sa_014;orgeh;orgeH_tousSols_nonirr_organique;52.89;2.03;15.42;0.56;0.0;23.24;226.03;76.11;310.4;-1.0;-1.0;81.75;153.57;0.0;922.18
2019;213;300;beauce_5_sa_015;solnu;;111.91;0.0;0.0;0.01;0.0;45.53;248.32;44.48;247.27;-1.0;-1.0;0.0;111.67;0.0;0.0
2019;301;365;beauce_5_sa_015;orgeh;orgeH_tousSols_nonirr_organique;28.93;0.01;12.17;0.74;0.0;44.25;247.04;56.91;310.4;-1.0;-1.0;98.29;104.24;0.0;429.33
2019;213;288;beauce_5_sa_016;solnu;;103.99;0.0;0.0;0.01;0.0;45.53;248.32;19.56;222.35;-1.0;-1.0;0.0;78.02;0.0;0.0
2019;289;365;beauce_5_sa_016;orgeh;orgeH_tousSols_nonirr_organique;36.25;0.08;12.69;0.88;0.0;18.98;221.77;56.91;310.4;-1.0;-1.0;93.2;137.88;0.0;556.92
2019;213;304;beauce_5_sa_017;solnu;;114.67;0.0;0.0;0.01;0.0;45.53;248.32;49.05;251.84;-1.0;-1.0;0.0;118.19;0.0;0.0
2019;305;365;beauce_5_sa_017;orgeh;orgeH_tousSols_nonirr_organique;26.24;0.0;12.1;0.61;0.0;48.28;251.07;56.91;310.4;-1.0;-1.0;98.35;97.72;0.0;398.57
2019;213;292;beauce_5_sa_018;solnu;;105.88;0.0;0.0;0.01;0.0;45.53;248.32;35.33;238.12;-1.0;-1.0;0.0;97.32;0.0;0.0
2019;293;365;beauce_5_sa_018;orgeh;orgeH_tousSols_nonirr_organique;34.66;0.04;12.43;0.83;0.0;35.98;238.77;56.91;310.4;-1.0;-1.0;95.07;118.58;0.0;507.81
2019;213;293;beauce_5_sa_019;solnu;;106.87;0.0;0.0;0.01;0.0;45.53;248.32;35.98;238.77;-1.0;-1.0;0.0;97.32;0.0;0.0
2019;294;365;beauce_5_sa_019;orgeh;orgeH_tousSols_nonirr_organique;33.76;0.03;12.35;0.8;0.0;35.03;237.82;56.91;310.4;-1.0;-1.0;95.27;118.58;0.0;498.06
2019;213;276;beauce_5_sa_020;solnu;;97.65;0.0;0.0;0.01;0.0;45.53;248.32;17.09;219.88;-1.0;-1.0;0.0;69.53;0.0;0.0
2019;277;365;beauce_5_sa_020;orgeh;orgeH_tousSols_nonirr_organique;41.54;0.36;13.46;0.8;0.0;16.67;219.46;56.91;310.4;-1.0;-1.0;86.85;146.38;0.0;697.57
2019;213;301;beauce_5_sa_021;solnu;;112.98;0.0;0.0;0.01;0.0;45.53;248.32;44.22;247.01;-1.0;-1.0;0.0;113.79;0.0;0.0
2019;302;365;beauce_5_sa_021;orgeh;orgeH_tousSols_nonirr_organique;27.91;0.0;12.12;0.72;0.0;45.98;248.77;56.91;310.4;-1.0;-1.0;98.35;102.11;0.0;421.57
2019;213;312;beauce_5_sa_022;solnu;;119.95;0.0;0.0;0.04;0.0;45.53;248.32;55.92;270.93;-1.0;-1.0;0.0;142.56;0.0;0.0
2019;313;365;beauce_5_sa_022;orgeh;orgeH_tousSols_nonirr_organique;20.94;0.0;12.12;0.37;0.0;55.03;270.03;56.91;310.4;-1.0;-1.0;98.11;73.35;0.0;323.88
2019;213;269;beauce_5_sa_023;solnu;;91.59;0.0;0.0;0.01;0.0;45.53;248.32;19.01;221.8;-1.0;-1.0;0.0;65.07;0.0;0.0
2019;270;365;beauce_5_sa_023;orgeh;orgeH_tousSols_nonirr_organique;46.19;0.9;14.33;0.71;0.0;17.78;220.57;63.24;310.4;-1.0;-1.0;84.46;150.83;0.0;800.34
2019;213;308;beauce_5_sa_024;solnu;;117.41;0.0;0.0;0.01;0.0;45.53;248.32;56.91;270.16;-1.0;-1.0;0.0;139.25;0.0;0.0
2019;309;365;beauce_5_sa_024;orgeh;orgeH_tousSols_nonirr_organique;23.43;0.0;12.17;0.43;0.0;56.48;269.73;56.91;310.4;-1.0;-1.0;98.25;76.66;0.0;366.39
2019;213;292;beauce_5_sa_025;solnu;;105.92;0.0;0.0;0.01;0.0;45.53;248.32;35.3;238.09;-1.0;-1.0;0.0;97.32;0.0;0.0
2019;293;365;beauce_5_sa_025;orgeh;orgeH_tousSols_nonirr_organique;34.7;0.04;12.35;0.83;0.0;35.93;238.72;56.91;310.4;-1.0;-1.0;94.87;118.58;0.0;507.81
2019;213;307;beauce_5_sa_026;solnu;;116.81;0.0;0.0;0.01;0.0;45.53;248.32;56.91;269.04;-1.0;-1.0;0.0;139.25;0.0;0.0
2019;308;365;beauce_5_sa_026;orgeh;orgeH_tousSols_nonirr_organique;24.03;0.0;12.17;0.45;0.0;56.91;270.16;56.91;310.4;-1.0;-1.0;98.28;76.66;0.0;374.6
2019;213;297;beauce_5_sa_027;solnu;;110.17;0.0;0.0;0.01;0.0;45.53;248.32;37.8;240.59;-1.0;-1.0;0.0;102.81;0.0;0.0
2019;298;365;beauce_5_sa_027;orgeh;orgeH_tousSols_nonirr_organique;30.59;0.01;12.24;0.81;0.0;37.69;240.48;56.91;310.4;-1.0;-1.0;97.47;113.09;0.0;455.91
2019;213;259;beauce_5_sa_028;solnu;;80.85;0.0;0.0;0.01;0.0;45.53;248.32;12.38;215.17;-1.0;-1.0;0.0;47.7;0.0;0.0
2019;260;365;beauce_5_sa_028;orgeh;orgeH_tousSols_nonirr_organique;52.99;3.02;16.15;0.48;0.0;11.57;214.36;82.16;310.4;-1.0;-1.0;82.11;168.21;0.0;968.3
2019;213;274;beauce_5_sa_029;solnu;;96.08;0.0;0.0;0.01;0.0;45.53;248.32;18.66;221.45;-1.0;-1.0;0.0;69.21;0.0;0.0
2019;275;365;beauce_5_sa_029;orgeh;orgeH_tousSols_nonirr_organique;42.87;0.46;13.61;0.79;0.0;17.77;220.56;56.91;310.4;-1.0;-1.0;86.26;146.69;0.0;727.04
2019;213;258;beauce_5_sa_030;solnu;;80.21;0.0;0.0;0.01;0.0;45.53;248.32;12.33;215.12;-1.0;-1.0;0.0;47.7;0.0;0.0
2019;259;365;beauce_5_sa_030;orgeh;orgeH_tousSols_nonirr_organique;53.3;3.29;16.21;0.45;0.0;12.36;215.15;83.86;310.4;-1.0;-1.0;81.67;168.21;0.0;989.01
2019;213;305;beauce_5_sa_031;solnu;;115.51;0.0;0.0;0.01;0.0;45.53;248.32;48.21;251.0;-1.0;-1.0;0.0;132.58;0.0;0.0
