annee;jourDebut;jourFin;parcelle;couvert;itk;N_lixivie[kgN/ha];N_volatilise_NH3[kgN/ha];N_mineralise_net_SOM[kgN/ha];N_mineralise_net_residus[kgN/ha];N_acquis_couvert[kgN/ha];N_mineral_debut[kgN/ha];N_mineral_fin[kgN/ha];emissions_N2O_directes[kgN/ha];emissions_N2[kgN/ha];N_fixe_legumineuses[kgN/ha];satisfactionAzote_culture[%];satisfactionAzote_ci[%];delta_Corg[kgC/ha];emissions_N2O_denit[kgN-N2O/ha];emissions_N2O_nit[kgN-N2O/ha];emissions_N2O_indirectes_volat[kgN-N2O/ha];emissions_N2O_indirectes_lixiv[kgN-N2O/ha]
2019;213;290;beauce_5_sa_000;solnu;;0.0;0.0;20.59;0.0;0.0;35.0;55.58;0.01;0.0;0;0;0;-229.58;0.0;0.01;0.0;0.0
2019;291;365;beauce_5_sa_000;BTH;;0.24;0.0;12.5;0.0;13.4;55.75;54.39;0.06;0.0;0;7.88;0;-140.01;0.05;0.01;0.0;0.24
2019;213;304;beauce_5_sa_001;solnu;;0.0;0.0;23.09;0.0;0.0;35.0;58.08;0.01;0.0;0;0;0;-256.67;0.0;0.01;0.0;0.0
2019;305;365;beauce_5_sa_001;BTH;;0.26;0.0;10.09;0.0;4.92;58.21;62.92;0.06;0.0;0;2.9;0;-113.9;0.05;0.01;0.0;0.26
2019;213;285;beauce_5_sa_002;solnu;;0.0;0.0;20.07;0.0;0.0;35.0;55.06;0.01;0.0;0;0;0;-223.8;0.0;0.01;0.0;0.0
2019;286;365;beauce_5_sa_002;BTH;;0.24;0.07;13.03;0.0;20.06;55.22;52.86;0.05;0.0;0;11.81;0;-145.97;0.04;0.01;0.07;0.24
2019;213;274;beauce_5_sa_003;solnu;;0.0;0.0;18.84;0.0;0.0;35.0;53.83;0.01;0.0;0;0;0;-209.26;0.0;0.01;0.0;0.0
2019;275;365;beauce_5_sa_003;BTH;;0.28;0.0;14.33;0.0;31.74;53.98;36.1;0.04;0.0;0;18.68;0;-161.33;0.03;0.01;0.0;0.28
2019;213;317;beauce_5_sa_004;solnu;;0.0;0.0;25.91;0.0;0.0;35.0;60.88;0.03;0.0;0;0;0;-286.27;0.02;0.02;0.0;0.0
2019;318;365;beauce_5_sa_004;BTH;;0.27;0.0;7.26;0.0;2.32;60.99;65.51;0.04;0.0;0;1.37;0;-84.27;0.04;0.0;0.0;0.27
2019;213;265;beauce_5_sa_005;solnu;;0.0;0.0;16.97;0.0;0.0;35.0;51.96;0.01;0.0;0;0;0;-187.61;0.0;0.01;0.0;0.0
2019;266;365;beauce_5_sa_005;BTH;;0.32;0.0;16.18;0.0;43.83;52.13;23.96;0.02;0.0;0;25.79;0;-182.67;0.01;0.01;0.0;0.32
2019;213;304;beauce_5_sa_006;solnu;;0.0;0.0;23.09;0.0;0.0;35.0;58.07;0.01;0.0;0;0;0;-256.62;0.0;0.01;0.0;0.0
2019;305;365;beauce_5_sa_006;BTH;;0.26;0.0;10.09;0.0;4.92;58.2;62.92;0.06;0.0;0;2.9;0;-113.89;0.05;0.01;0.0;0.26
2019;213;292;beauce_5_sa_007;solnu;;0.0;0.0;21.07;0.0;0.0;35.0;56.05;0.01;0.0;0;0;0;-233.31;0.0;0.01;0.0;0.0
2019;293;365;beauce_5_sa_007;BTH;;0.26;0.14;12.1;0.0;10.9;56.24;56.94;0.06;0.0;0;6.41;0;-137.16;0.05;0.01;0.14;0.26
2019;213;291;beauce_5_sa_008;solnu;;0.0;0.0;20.77;0.0;0.0;35.0;55.76;0.01;0.0;0;0;0;-230.69;0.0;0.01;0.0;0.0
2019;292;365;beauce_5_sa_008;BTH;;0.24;0.0;12.32;0.0;12.38;55.99;55.41;0.06;0.0;0;7.29;0;-138.92;0.05;0.01;0.0;0.24
2019;213;276;beauce_5_sa_009;solnu;;0.0;0.0;19.07;0.0;0.0;35.0;54.05;0.01;0.0;0;0;0;-212.66;0.0;0.01;0.0;0.0
2019;277;365;beauce_5_sa_009;BTH;;0.28;0.0;14.1;0.0;28.65;54.25;39.19;0.04;0.0;0;16.86;0;-157.84;0.03;0.01;0.0;0.28
2019;213;292;beauce_5_sa_010;solnu;;0.0;0.0;21.07;0.0;0.0;35.0;56.06;0.01;0.0;0;0;0;-233.33;0.0;0.01;0.0;0.0
2019;293;365;beauce_5_sa_010;BTH;;0.27;0.02;12.11;0.0;10.9;56.24;56.94;0.06;0.0;0;6.42;0;-137.22;0.05;0.01;0.02;0.27
2019;213;278;beauce_5_sa_011;solnu;;0.0;0.0;19.35;0.0;0.0;35.0;54.33;0.01;0.0;0;0;0;-215.56;0.0;0.01;0.0;0.0
2019;279;365;beauce_5_sa_011;BTH;;0.26;0.0;13.79;0.0;25.63;54.43;42.19;0.04;0.0;0;15.08;0;-154.55;0.04;0.01;0.0;0.26
2019;213;294;beauce_5_sa_012;solnu;;0.0;0.0;21.39;0.0;0.0;35.0;56.38;0.01;0.0;0;0;0;-237.87;0.0;0.01;0.0;0.0
2019;295;365;beauce_5_sa_012;BTH;;0.25;0.0;11.76;0.0;8.74;56.54;59.1;0.06;0.0;0;5.14;0;-132.39;0.05;0.01;0.0;0.25
2019;213;284;beauce_5_sa_013;solnu;;0.0;0.0;19.96;0.0;0.0;35.0;54.94;0.01;0.0;0;0;0;-222.61;0.0;0.01;0.0;0.0
2019;285;365;beauce_5_sa_013;BTH;;0.24;0.0;13.11;0.0;20.59;55.03;47.19;0.05;0.0;0;12.11;0;-146.77;0.04;0.01;0.0;0.24
2019;213;272;beauce_5_sa_014;solnu;;0.0;0.0;18.5;0.0;0.0;35.0;53.49;0.01;0.0;0;0;0;-205.43;0.0;0.01;0.0;0.0
2019;273;365;beauce_5_sa_014;BTH;;0.3;0.0;14.69;0.0;33.97;53.67;33.88;0.04;0.0;0;19.99;0;-165.32;0.03;0.01;0.0;0.3
2019;213;300;beauce_5_sa_015;solnu;;0.0;0.0;22.45;0.0;0.0;35.0;57.44;0.01;0.0;0;0;0;-249.35;0.0;0.01;0.0;0.0
2019;301;365;beauce_5_sa_015;BTH;;0.26;0.0;10.72;0.0;5.61;57.61;62.23;0.06;0.0;0;3.3;0;-121.19;0.05;0.01;0.0;0.26
2019;213;294;beauce_5_sa_016;solnu;;0.0;0.0;21.4;0.0;0.0;35.0;56.38;0.01;0.0;0;0;0;-237.92;0.0;0.01;0.0;0.0
2019;295;365;beauce_5_sa_016;BTH;;0.25;0.0;11.76;0.0;8.74;56.54;59.1;0.06;0.0;0;5.14;0;-132.41;0.05;0.01;0.0;0.25
2019;213;292;beauce_5_sa_017;solnu;;0.0;0.0;21.07;0.0;0.0;35.0;56.06;0.01;0.0;0;0;0;-233.33;0.0;0.01;0.0;0.0
2019;293;365;beauce_5_sa_017;BTH;;0.27;0.06;12.11;0.0;10.9;56.24;61.18;0.06;0.0;0;6.42;0;-137.22;0.05;0.01;0.06;0.27
